po_item_id,purchase_order_id,product_id,quantity,unit_cost
POITEM00174,PO00052,PROD448,402,776.39
POITEM00175,PO00052,PROD380,257,583.27
POITEM00176,PO00052,PROD256,36,419.41
POITEM00177,PO00053,PROD049,205,665.03
POITEM00178,PO00053,PROD323,320,348.8
POITEM00179,PO00053,PROD450,381,446.47
POITEM00180,PO00053,PROD040,276,459.73
POITEM00181,PO00053,PROD407,21,628.45
POITEM00182,PO00053,PROD117,164,169.44
POITEM00183,PO00053,PROD393,118,401.11
POITEM00184,PO00054,PROD298,155,152.63
POITEM00185,PO00054,PROD216,29,103.05
POITEM00186,PO00055,PROD016,336,765.64
POITEM00187,PO00055,PROD047,366,69.18
POITEM00188,PO00055,PROD454,122,39.96
POITEM00189,PO00056,PROD086,216,796.25
POITEM00190,PO00056,PROD090,47,448.29
POITEM00191,PO00056,PROD415,371,160.17
POITEM00192,PO00057,PROD067,217,768.19
POITEM00193,PO00057,PROD390,224,668.9
POITEM00194,PO00058,PROD150,301,800.82
POITEM00195,PO00058,PROD027,99,397.54
POITEM00196,PO00058,PROD463,117,440.81
POITEM00197,PO00059,PROD354,81,728.91
POITEM00198,PO00059,PROD230,328,393.11
POITEM00199,PO00060,PROD024,410,367.61
POITEM00200,PO00060,PROD172,76,259.65
POITEM00201,PO00061,PROD307,25,168.22
POITEM00202,PO00061,PROD459,22,425.98
POITEM00203,PO00061,PROD364,450,28.18
POITEM00204,PO00062,PROD327,135,77.16
POITEM00205,PO00062,PROD184,206,29.32
POITEM00206,PO00062,PROD081,326,408.14
POITEM00207,PO00062,PROD411,208,722.17
POITEM00208,PO00062,PROD214,64,448.24
POITEM00209,PO00063,PROD123,96,256.49
POITEM00210,PO00063,PROD334,380,631.9
POITEM00211,PO00063,PROD484,115,780.87
POITEM00212,PO00063,PROD015,432,198.05
POITEM00213,PO00064,PROD204,187,103.04
POITEM00214,PO00064,PROD213,400,593.33
POITEM00215,PO00065,PROD086,207,796.25
POITEM00216,PO00065,PROD496,472,574.68
POITEM00217,PO00065,PROD099,248,263.66
POITEM00218,PO00066,PROD297,261,148.17
POITEM00219,PO00066,PROD023,63,144.33
POITEM00220,PO00066,PROD189,275,233.01
POITEM00221,PO00067,PROD443,336,266.46
POITEM00222,PO00067,PROD350,453,431.8
POITEM00223,PO00067,PROD320,447,561.69
POITEM00224,PO00067,PROD477,272,637.64
POITEM00225,PO00068,PROD270,487,123.23
POITEM00226,PO00068,PROD238,287,59.91
POITEM00227,PO00068,PROD484,339,780.87
POITEM00228,PO00069,PROD442,182,622.08
POITEM00229,PO00069,PROD128,463,304.2
POITEM00230,PO00069,PROD051,78,320.72
POITEM00231,PO00069,PROD245,67,572.74
POITEM00232,PO00069,PROD498,54,707.28
POITEM00233,PO00069,PROD055,152,324.06
POITEM00234,PO00070,PROD160,233,576.41
POITEM00235,PO00070,PROD187,245,702.51
POITEM00236,PO00070,PROD455,131,767.23
POITEM00237,PO00070,PROD157,58,65.99
POITEM00238,PO00070,PROD495,488,56.14
POITEM00239,PO00071,PROD048,369,69.08
POITEM00240,PO00071,PROD294,229,225.47
POITEM00241,PO00071,PROD457,225,725.46
POITEM00242,PO00071,PROD473,325,234.57
POITEM00243,PO00071,PROD001,184,776.99
POITEM00244,PO00072,PROD244,150,89.5
POITEM00245,PO00072,PROD380,23,583.27
POITEM00246,PO00072,PROD417,477,638.19
POITEM00247,PO00072,PROD003,82,313.13
POITEM00248,PO00072,PROD099,352,263.66
POITEM00249,PO00073,PROD054,38,723.26
POITEM00250,PO00073,PROD106,78,129.72
POITEM00251,PO00073,PROD333,73,267.79
POITEM00252,PO00073,PROD449,364,743.17
POITEM00253,PO00074,PROD324,352,214.11
POITEM00254,PO00074,PROD425,64,128.6
POITEM00255,PO00075,PROD241,236,619.62
POITEM00256,PO00075,PROD301,152,125.66
POITEM00257,PO00075,PROD195,26,419.18
POITEM00258,PO00075,PROD184,35,29.32
POITEM00259,PO00075,PROD489,52,628.21
POITEM00260,PO00075,PROD430,311,576.39
POITEM00261,PO00076,PROD400,383,523.63
POITEM00262,PO00076,PROD205,477,280.15
POITEM00263,PO00076,PROD371,467,273.28
POITEM00264,PO00076,PROD030,244,98.6
POITEM00265,PO00077,PROD446,125,112.46
POITEM00266,PO00077,PROD144,158,669.01
POITEM00267,PO00078,PROD429,149,65.57
POITEM00268,PO00078,PROD063,469,535.5
POITEM00269,PO00079,PROD483,160,367.42
POITEM00270,PO00079,PROD224,485,36.63
POITEM00271,PO00079,PROD074,405,668.18
POITEM00272,PO00080,PROD330,237,374.25
POITEM00273,PO00081,PROD217,224,364.98
POITEM00274,PO00081,PROD472,48,577.91
POITEM00275,PO00081,PROD262,134,46.35
POITEM00276,PO00081,PROD134,285,169.2
POITEM00277,PO00082,PROD077,162,418.0
POITEM00278,PO00082,PROD122,490,696.31
POITEM00279,PO00083,PROD433,166,509.44
POITEM00280,PO00083,PROD386,237,321.18
POITEM00281,PO00083,PROD254,151,529.14
POITEM00282,PO00084,PROD485,158,774.45
POITEM00283,PO00084,PROD222,317,237.21
POITEM00284,PO00084,PROD386,425,321.18
POITEM00285,PO00084,PROD444,181,399.53
POITEM00286,PO00085,PROD421,72,734.59
POITEM00287,PO00085,PROD148,69,19.6
POITEM00288,PO00086,PROD329,343,267.76
POITEM00289,PO00086,PROD218,73,669.74
POITEM00290,PO00086,PROD381,407,119.33
POITEM00291,PO00086,PROD454,370,39.96
POITEM00292,PO00086,PROD405,26,42.4
POITEM00293,PO00086,PROD124,274,413.86
POITEM00294,PO00087,PROD220,447,441.05
POITEM00295,PO00087,PROD296,370,629.34
POITEM00296,PO00088,PROD117,160,169.44
POITEM00297,PO00088,PROD008,74,531.37
POITEM00298,PO00089,PROD429,275,65.57
POITEM00299,PO00090,PROD336,458,771.31
POITEM00300,PO00090,PROD425,331,128.6
POITEM00301,PO00090,PROD335,260,290.45
POITEM00302,PO00091,PROD018,360,369.91
POITEM00303,PO00091,PROD049,238,665.03
POITEM00304,PO00092,PROD341,379,825.32
POITEM00305,PO00092,PROD415,267,160.17
POITEM00306,PO00092,PROD431,428,243.6
POITEM00307,PO00093,PROD110,62,706.0
POITEM00308,PO00093,PROD243,486,674.05
POITEM00309,PO00093,PROD010,402,95.43
POITEM00310,PO00094,PROD138,337,737.18
POITEM00311,PO00094,PROD330,203,374.25
POITEM00312,PO00094,PROD010,106,95.43
POITEM00313,PO00094,PROD378,309,94.29
POITEM00314,PO00095,PROD017,267,435.9
POITEM00315,PO00095,PROD307,491,168.22
POITEM00316,PO00095,PROD180,312,627.22
POITEM00317,PO00096,PROD200,223,324.44
POITEM00318,PO00096,PROD204,125,103.04
POITEM00319,PO00096,PROD259,399,724.03
POITEM00320,PO00096,PROD026,469,429.06
POITEM00321,PO00097,PROD049,325,665.03
POITEM00322,PO00097,PROD047,197,69.18
POITEM00323,PO00098,PROD091,350,484.78
POITEM00324,PO00098,PROD379,476,768.98
POITEM00325,PO00098,PROD250,476,549.69
POITEM00326,PO00098,PROD263,333,750.8
POITEM00327,PO00099,PROD410,82,65.45
POITEM00328,PO00099,PROD104,96,322.97
POITEM00329,PO00099,PROD046,361,444.13
POITEM00330,PO00099,PROD391,440,689.07
POITEM00331,PO00100,PROD077,470,418.0
POITEM00332,PO00100,PROD399,102,148.15
POITEM00333,PO00100,PROD423,127,690.64
POITEM00334,PO00101,PROD200,21,324.44
POITEM00335,PO00101,PROD249,442,494.03
POITEM00336,PO00101,PROD256,373,419.41
POITEM00337,PO00101,PROD071,382,644.78
POITEM00338,PO00101,PROD178,446,136.21
POITEM00339,PO00102,PROD353,378,270.5
POITEM00340,PO00102,PROD236,79,535.24
POITEM00341,PO00103,PROD255,116,68.92
POITEM00342,PO00103,PROD335,93,290.45
POITEM00343,PO00103,PROD363,123,398.27
POITEM00344,PO00103,PROD254,181,529.14
POITEM00345,PO00104,PROD093,71,388.15
POITEM00346,PO00104,PROD465,366,567.0
POITEM00347,PO00104,PROD402,478,288.73
POITEM00348,PO00105,PROD225,266,739.73
POITEM00349,PO00105,PROD305,153,213.13
POITEM00350,PO00105,PROD123,77,256.49
POITEM00351,PO00105,PROD459,209,425.98
POITEM00352,PO00106,PROD026,453,429.06
POITEM00353,PO00106,PROD441,426,314.89
POITEM00354,PO00106,PROD340,188,807.39
POITEM00355,PO00106,PROD169,135,677.32
POITEM00356,PO00106,PROD291,465,188.82
POITEM00357,PO00106,PROD070,482,254.2
POITEM00358,PO00106,PROD492,348,804.82
POITEM00359,PO00107,PROD252,331,755.34
POITEM00360,PO00107,PROD254,429,529.14
POITEM00361,PO00108,PROD251,127,788.6
POITEM00362,PO00109,PROD217,368,364.98
POITEM00363,PO00110,PROD123,73,256.49
POITEM00364,PO00110,PROD165,72,341.6
POITEM00365,PO00111,PROD055,116,324.06
POITEM00366,PO00111,PROD016,210,765.64
POITEM00367,PO00111,PROD244,411,89.5
POITEM00368,PO00111,PROD169,366,677.32
POITEM00369,PO00112,PROD499,288,136.97
POITEM00370,PO00112,PROD296,446,629.34
POITEM00371,PO00112,PROD143,417,189.93
POITEM00372,PO00113,PROD093,458,388.15
POITEM00373,PO00113,PROD117,107,169.44
POITEM00374,PO00114,PROD031,175,825.69
POITEM00375,PO00114,PROD482,126,195.08
POITEM00376,PO00114,PROD394,319,789.05
POITEM00377,PO00114,PROD388,445,392.75
POITEM00378,PO00114,PROD392,446,844.63
POITEM00379,PO00114,PROD369,73,496.21
POITEM00380,PO00114,PROD295,147,114.04
POITEM00381,PO00115,PROD288,285,740.09
POITEM00382,PO00115,PROD450,125,446.47
POITEM00383,PO00115,PROD226,265,302.07
POITEM00384,PO00116,PROD218,399,669.74
POITEM00385,PO00116,PROD418,303,502.51
POITEM00386,PO00116,PROD485,115,774.45
POITEM00387,PO00117,PROD004,434,681.55
POITEM00388,PO00117,PROD317,325,616.34
POITEM00389,PO00118,PROD320,493,561.69
POITEM00390,PO00118,PROD119,249,65.49
POITEM00391,PO00118,PROD039,451,328.0
POITEM00392,PO00119,PROD287,431,101.85
POITEM00393,PO00119,PROD403,146,460.82
POITEM00394,PO00119,PROD396,296,471.13
POITEM00395,PO00120,PROD333,474,267.79
POITEM00396,PO00120,PROD225,399,739.73
POITEM00397,PO00121,PROD032,314,272.47
POITEM00398,PO00121,PROD344,156,838.24
POITEM00399,PO00121,PROD129,222,474.72
POITEM00400,PO00122,PROD158,269,660.16
POITEM00401,PO00122,PROD016,471,765.64
POITEM00402,PO00122,PROD226,27,302.07
POITEM00403,PO00122,PROD439,27,348.87
POITEM00404,PO00123,PROD266,489,691.86
POITEM00405,PO00123,PROD067,155,768.19
POITEM00406,PO00123,PROD438,302,485.88
POITEM00407,PO00123,PROD105,390,288.76
POITEM00408,PO00124,PROD290,284,96.88
POITEM00409,PO00124,PROD334,184,631.9
POITEM00410,PO00124,PROD382,49,278.93
POITEM00411,PO00124,PROD119,432,65.49
POITEM00412,PO00125,PROD500,303,482.22
POITEM00413,PO00126,PROD377,210,593.84
POITEM00414,PO00126,PROD182,238,188.11
POITEM00415,PO00126,PROD113,414,148.55
POITEM00416,PO00126,PROD238,170,59.91
POITEM00417,PO00126,PROD036,71,500.54
POITEM00418,PO00127,PROD396,233,471.13
POITEM00419,PO00127,PROD009,368,267.41
POITEM00420,PO00127,PROD196,476,763.76
POITEM00421,PO00127,PROD211,272,660.34
POITEM00422,PO00128,PROD047,71,69.18
POITEM00423,PO00129,PROD494,190,405.19
POITEM00424,PO00129,PROD303,192,460.65
POITEM00425,PO00130,PROD106,117,129.72
POITEM00426,PO00130,PROD372,150,340.73
POITEM00427,PO00130,PROD059,370,476.49
POITEM00428,PO00130,PROD431,49,243.6
POITEM00429,PO00131,PROD397,268,41.01
POITEM00430,PO00131,PROD486,312,40.88
POITEM00431,PO00131,PROD111,343,720.46
POITEM00432,PO00132,PROD298,27,152.63
POITEM00433,PO00132,PROD071,166,644.78
POITEM00434,PO00132,PROD451,490,590.08
POITEM00435,PO00132,PROD027,209,397.54
POITEM00436,PO00132,PROD459,284,425.98
POITEM00437,PO00133,PROD201,172,148.93
POITEM00438,PO00133,PROD094,85,119.15
POITEM00439,PO00133,PROD425,172,128.6
POITEM00440,PO00133,PROD139,240,185.81
POITEM00441,PO00133,PROD230,306,393.11
POITEM00442,PO00133,PROD499,158,136.97
POITEM00443,PO00133,PROD355,497,245.42
POITEM00444,PO00134,PROD032,413,272.47
POITEM00445,PO00135,PROD172,386,259.65
POITEM00446,PO00136,PROD326,32,44.1
POITEM00447,PO00136,PROD062,436,176.9
POITEM00448,PO00136,PROD067,250,768.19
POITEM00449,PO00137,PROD417,31,638.19
POITEM00450,PO00137,PROD339,453,635.93
POITEM00451,PO00137,PROD497,139,607.34
POITEM00452,PO00137,PROD310,180,658.21
POITEM00453,PO00138,PROD292,455,238.58
POITEM00454,PO00138,PROD310,232,658.21
POITEM00455,PO00138,PROD386,296,321.18
POITEM00456,PO00138,PROD411,460,722.17
POITEM00457,PO00138,PROD405,429,42.4
POITEM00458,PO00138,PROD496,500,574.68
POITEM00459,PO00139,PROD488,442,538.7
POITEM00460,PO00139,PROD361,393,549.02
POITEM00461,PO00139,PROD229,248,704.2
POITEM00462,PO00139,PROD381,154,119.33
POITEM00463,PO00139,PROD357,170,656.13
POITEM00464,PO00139,PROD369,114,496.21
POITEM00465,PO00139,PROD276,37,128.13
POITEM00466,PO00139,PROD400,181,523.63
POITEM00467,PO00139,PROD041,153,696.65
POITEM00468,PO00140,PROD473,186,234.57
POITEM00469,PO00140,PROD354,234,728.91
POITEM00470,PO00140,PROD341,267,825.32
POITEM00471,PO00141,PROD060,221,493.98
POITEM00472,PO00141,PROD374,350,166.06
POITEM00473,PO00142,PROD474,32,486.88
POITEM00474,PO00143,PROD041,37,696.65
POITEM00475,PO00143,PROD156,198,450.52
POITEM00476,PO00143,PROD448,397,776.39
POITEM00477,PO00144,PROD010,56,95.43
POITEM00478,PO00144,PROD293,451,540.67
POITEM00479,PO00145,PROD132,45,576.63
POITEM00480,PO00145,PROD003,26,313.13
POITEM00481,PO00146,PROD131,203,395.7
POITEM00482,PO00146,PROD435,148,605.54
POITEM00483,PO00147,PROD415,107,160.17
POITEM00484,PO00147,PROD226,204,302.07
POITEM00485,PO00147,PROD180,228,627.22
POITEM00486,PO00148,PROD310,237,658.21
POITEM00487,PO00148,PROD073,88,483.95
POITEM00488,PO00148,PROD441,181,314.89
POITEM00489,PO00148,PROD145,247,314.36
POITEM00490,PO00148,PROD203,236,195.25
POITEM00491,PO00149,PROD021,398,371.88
POITEM00492,PO00149,PROD357,60,656.13
POITEM00493,PO00149,PROD241,65,619.62
POITEM00494,PO00149,PROD309,279,467.42
POITEM00495,PO00149,PROD170,77,847.62
POITEM00496,PO00150,PROD031,365,825.69
POITEM00497,PO00150,PROD286,80,584.6
POITEM00498,PO00151,PROD174,31,34.33
POITEM00499,PO00151,PROD482,244,195.08
POITEM00500,PO00152,PROD247,431,826.24
POITEM00501,PO00152,PROD487,267,307.18
POITEM00502,PO00153,PROD398,378,652.23
POITEM00503,PO00153,PROD422,146,804.99
POITEM00504,PO00153,PROD081,82,408.14
POITEM00505,PO00154,PROD494,281,405.19
POITEM00506,PO00154,PROD193,150,285.63
POITEM00507,PO00154,PROD052,491,368.02
POITEM00508,PO00154,PROD212,169,333.53
POITEM00509,PO00155,PROD188,349,345.38
POITEM00510,PO00155,PROD390,278,668.9
POITEM00511,PO00156,PROD483,478,367.42
POITEM00512,PO00156,PROD341,415,825.32
POITEM00513,PO00156,PROD278,54,232.84
POITEM00514,PO00156,PROD117,463,169.44
POITEM00515,PO00156,PROD095,65,142.41
POITEM00516,PO00156,PROD261,458,819.85
POITEM00517,PO00157,PROD393,497,401.11
POITEM00518,PO00157,PROD253,384,512.2
POITEM00519,PO00158,PROD295,156,114.04
POITEM00520,PO00158,PROD048,488,69.08
POITEM00521,PO00158,PROD368,447,619.33
POITEM00522,PO00158,PROD440,173,463.42
POITEM00523,PO00159,PROD295,178,114.04
POITEM00524,PO00159,PROD339,216,635.93
POITEM00525,PO00160,PROD452,316,316.15
POITEM00526,PO00160,PROD497,99,607.34
POITEM00527,PO00160,PROD408,349,677.22
POITEM00528,PO00161,PROD385,223,368.25
POITEM00529,PO00161,PROD125,361,569.18
POITEM00530,PO00161,PROD245,346,572.74
POITEM00531,PO00162,PROD241,125,619.62
POITEM00532,PO00162,PROD474,251,486.88
POITEM00533,PO00163,PROD439,308,348.87
POITEM00534,PO00163,PROD076,71,128.14
POITEM00535,PO00163,PROD180,457,627.22
POITEM00536,PO00163,PROD058,295,725.52
POITEM00537,PO00164,PROD293,246,540.67
POITEM00538,PO00164,PROD229,242,704.2
POITEM00539,PO00164,PROD157,433,65.99
POITEM00540,PO00165,PROD355,332,245.42
POITEM00541,PO00166,PROD195,195,419.18
POITEM00542,PO00166,PROD430,315,576.39
POITEM00543,PO00166,PROD130,356,372.25
POITEM00544,PO00166,PROD065,352,418.06
POITEM00545,PO00167,PROD443,452,266.46
POITEM00546,PO00167,PROD297,495,148.17
POITEM00547,PO00167,PROD255,453,68.92
POITEM00548,PO00168,PROD164,79,83.61
POITEM00549,PO00168,PROD295,33,114.04
POITEM00550,PO00169,PROD334,442,631.9
POITEM00551,PO00169,PROD344,232,838.24
POITEM00552,PO00170,PROD402,264,288.73
POITEM00553,PO00170,PROD229,266,704.2
POITEM00554,PO00171,PROD434,453,825.48
POITEM00555,PO00172,PROD357,204,656.13
POITEM00556,PO00172,PROD044,208,408.18
POITEM00557,PO00173,PROD328,337,665.85
POITEM00558,PO00173,PROD426,374,369.19
POITEM00559,PO00173,PROD402,338,288.73
POITEM00560,PO00174,PROD190,130,716.67
POITEM00561,PO00174,PROD200,271,324.44
POITEM00562,PO00174,PROD323,152,348.8
POITEM00563,PO00175,PROD364,262,28.18
POITEM00564,PO00175,PROD343,219,279.4
POITEM00565,PO00175,PROD336,446,771.31
POITEM00566,PO00176,PROD498,190,707.28
POITEM00567,PO00176,PROD095,33,142.41
POITEM00568,PO00176,PROD002,309,804.13
POITEM00569,PO00176,PROD363,480,398.27
POITEM00570,PO00176,PROD464,194,580.41
POITEM00571,PO00177,PROD067,340,768.19
POITEM00572,PO00177,PROD271,381,642.62
POITEM00573,PO00178,PROD255,387,68.92
POITEM00574,PO00178,PROD031,304,825.69
POITEM00575,PO00179,PROD219,140,428.2
POITEM00576,PO00179,PROD419,229,312.82
POITEM00577,PO00179,PROD207,493,406.78
POITEM00578,PO00179,PROD012,236,840.64
POITEM00579,PO00180,PROD349,468,753.18
POITEM00580,PO00181,PROD464,441,580.41
POITEM00581,PO00181,PROD395,431,236.19
POITEM00582,PO00181,PROD308,166,364.45
POITEM00583,PO00182,PROD426,430,369.19
POITEM00584,PO00182,PROD204,72,103.04
POITEM00585,PO00183,PROD446,151,112.46
POITEM00586,PO00183,PROD400,91,523.63
POITEM00587,PO00183,PROD240,162,813.74
POITEM00588,PO00183,PROD349,271,753.18
POITEM00589,PO00183,PROD270,74,123.23
POITEM00590,PO00184,PROD301,77,125.66
POITEM00591,PO00185,PROD298,448,152.63
POITEM00592,PO00185,PROD171,371,619.21
POITEM00593,PO00185,PROD012,261,840.64
POITEM00594,PO00185,PROD438,431,485.88
POITEM00595,PO00186,PROD019,198,121.47
POITEM00596,PO00186,PROD051,238,320.72
POITEM00597,PO00186,PROD199,333,60.76
POITEM00598,PO00186,PROD311,263,547.26
POITEM00599,PO00186,PROD038,291,806.17
POITEM00600,PO00187,PROD343,43,279.4
POITEM00601,PO00188,PROD423,397,690.64
POITEM00602,PO00189,PROD154,111,783.77
POITEM00603,PO00189,PROD119,445,65.49
POITEM00604,PO00190,PROD283,376,484.15
POITEM00605,PO00190,PROD002,214,804.13
POITEM00606,PO00190,PROD047,364,69.18
