product_id,company_id,name,sku,category,unit_price,supplier_cost,reorder_level,safety_stock,weight,dimensions
PROD015,COMP006,Ruggedized Product Chassis v2.8,SKU-CON-0015-615,Consumer Goods,351.11,198.05,387,97,20.69,8x12x32 cm
PROD016,COMP007,Pulse Oximeter Sensor Module v8.8,SKU-MED-0016-175,Medical,1166.68,765.64,125,36,5.81,84x79x37 cm
PROD017,COMP006,Medical Grade Power Supply v9.5,SKU-MED-0017-564,Medical,704.27,435.9,108,75,19.44,118x34x28 cm
PROD018,COMP006,Electrocardiogram Signal Amplifier v7.2,SKU-MED-0018-420,Medical,671.51,369.91,241,59,30.95,65x13x7 cm
PROD019,COMP002,Optocoupler Signal Isolator v2.6,SKU-ELE-0019-931,Electronics,158.03,121.47,337,104,30.2,57x50x57 cm
PROD020,COMP007,Precision Voltage Regulator v5.6,SKU-ELE-0020-206,Electronics,710.42,496.51,386,143,10.21,18x49x56 cm
PROD021,COMP009,Pneumatic Control Valve v5.4,SKU-IND-0021-926,Industrial,642.17,371.88,368,26,27.46,89x39x3 cm
PROD022,COMP003,Industrial Gearbox Reducer v6.6,SKU-IND-0022-106,Industrial,225.56,164.43,386,122,3.27,99x8x7 cm
PROD023,COMP009,High-Intensity LED Headlight Assembly v7.8,SKU-AUT-0023-449,Automotive,218.64,144.33,216,41,39.77,24x25x50 cm
PROD024,COMP010,FPGA Accelerator Board v5.8,SKU-ELE-0024-777,Electronics,649.2,367.61,262,89,9.82,70x19x24 cm
PROD025,COMP007,Precision Voltage Regulator v8.9,SKU-ELE-0025-783,Electronics,389.26,270.8,356,34,0.49,43x32x51 cm
PROD026,COMP003,Industrial Gearbox Reducer v6.2,SKU-IND-0026-107,Industrial,693.39,429.06,116,117,24.04,34x69x37 cm
PROD027,COMP006,Optocoupler Signal Isolator v1.7,SKU-ELE-0027-119,Electronics,523.24,397.54,210,129,25.87,95x58x20 cm
PROD028,COMP002,Sterile Fluid Delivery Pump v6.3,SKU-MED-0028-920,Medical,1322.93,806.13,235,42,19.74,18x36x29 cm
PROD029,COMP010,Precision Peristaltic Pump v2.7,SKU-MED-0029-991,Medical,419.03,272.35,220,63,3.58,86x19x35 cm
PROD030,COMP009,Transmission Solenoid Valve v6.3,SKU-AUT-0030-341,Automotive,144.7,98.6,138,59,34.25,88x14x13 cm
PROD031,COMP008,Medical Grade Power Supply v8.6,SKU-MED-0031-984,Medical,1253.99,825.69,275,37,21.18,85x43x52 cm
PROD032,COMP005,Ergonomic Smart Desk Sensor v6.9,SKU-CON-0032-175,Consumer Goods,445.25,272.47,79,114,37.45,14x16x41 cm
PROD033,COMP010,Water Filtration Cartridge v8.9,SKU-CON-0033-910,Consumer Goods,811.2,631.35,342,68,14.57,65x69x11 cm
PROD034,COMP001,Pulse Oximeter Sensor Module v6.2,SKU-MED-0034-616,Medical,710.46,553.63,274,132,23.65,83x25x25 cm
PROD035,COMP006,Pressure Transmitter Gauge v7.6,SKU-IND-0035-795,Industrial,985.83,513.23,381,105,3.11,17x76x45 cm
PROD036,COMP007,Industrial Gearbox Reducer v3.6,SKU-IND-0036-183,Industrial,685.85,500.54,229,99,43.55,94x55x10 cm
PROD037,COMP010,Precision Voltage Regulator v9.7,SKU-ELE-0037-758,Electronics,1311.32,675.52,393,43,29.12,59x70x25 cm
PROD038,COMP001,Industrial Gearbox Reducer v3.4,SKU-IND-0038-449,Industrial,1340.93,806.17,165,55,7.1,42x17x34 cm
PROD039,COMP009,Ergonomic Smart Desk Sensor v6.3,SKU-CON-0039-711,Consumer Goods,455.23,328.0,369,62,32.5,10x57x25 cm
PROD040,COMP004,Medical Grade Power Supply v5.8,SKU-MED-0040-339,Medical,695.59,459.73,290,69,16.65,78x61x31 cm
PROD041,COMP005,Precision Peristaltic Pump v9.7,SKU-MED-0041-265,Medical,1345.28,696.65,120,84,2.49,66x52x37 cm
PROD042,COMP002,Rechargeable Lithium Battery Pack v5.2,SKU-CON-0042-881,Consumer Goods,239.5,146.76,312,57,37.42,16x33x54 cm
PROD043,COMP008,Hydraulic Cylinder Assembly v7.1,SKU-IND-0043-505,Industrial,627.93,432.93,91,115,10.22,45x17x55 cm
PROD044,COMP006,Electronic Throttle Body v1.5,SKU-AUT-0044-949,Automotive,798.58,408.18,290,134,27.75,120x15x3 cm
PROD045,COMP005,Electronic Throttle Body v9.9,SKU-AUT-0045-533,Automotive,157.89,105.62,204,51,2.29,58x63x6 cm
PROD046,COMP002,Medical Grade Power Supply v9.1,SKU-MED-0046-747,Medical,646.5,444.13,123,94,19.4,83x50x17 cm
PROD047,COMP010,Surgical Grade Titanium Valve v2.9,SKU-MED-0047-469,Medical,117.41,69.18,309,149,25.0,54x65x4 cm
PROD048,COMP007,Industrial Gearbox Reducer v1.6,SKU-IND-0048-907,Industrial,100.51,69.08,386,46,34.75,99x47x10 cm
PROD049,COMP001,Thermal Imaging Sensor v6.3,SKU-IND-0049-950,Industrial,1093.93,665.03,295,66,36.55,13x63x4 cm
PROD050,COMP005,Heavy-Duty Braking Rotor v4.1,SKU-AUT-0050-423,Automotive,1340.67,794.2,328,141,11.51,101x29x20 cm
PROD051,COMP006,Industrial IoT Transceiver v5.2,SKU-ELE-0051-918,Electronics,643.38,320.72,275,118,15.36,28x68x46 cm
PROD052,COMP008,Thermal Imaging Sensor v5.2,SKU-IND-0052-844,Industrial,594.73,368.02,142,95,14.56,15x46x44 cm
PROD053,COMP005,Programmable Logic Controller (PLC) v7.3,SKU-IND-0053-806,Industrial,626.38,384.27,230,131,12.46,106x12x6 cm
PROD054,COMP007,Thermal Imaging Sensor v3.1,SKU-IND-0054-246,Industrial,1320.94,723.26,274,28,5.81,35x51x25 cm
PROD055,COMP007,Ergonomic Smart Desk Sensor v3.8,SKU-CON-0055-479,Consumer Goods,615.27,324.06,343,55,23.9,55x45x43 cm
PROD056,COMP005,Drive Shaft Universal Joint v1.3,SKU-AUT-0056-611,Automotive,904.05,446.11,110,87,34.91,95x62x15 cm
PROD057,COMP010,Programmable Logic Controller (PLC) v4.2,SKU-IND-0057-238,Industrial,1187.66,726.74,277,42,36.5,113x45x44 cm
PROD058,COMP006,LiFePO4 BMS Module v9.5,SKU-ELE-0058-407,Electronics,1345.87,725.52,376,64,35.75,70x33x9 cm
PROD059,COMP004,Engine Control Module (ECM) v8.1,SKU-AUT-0059-469,Automotive,745.03,476.49,332,53,27.6,16x13x21 cm
PROD060,COMP007,Precision Peristaltic Pump v7.7,SKU-MED-0060-943,Medical,670.1,493.98,212,38,20.33,92x71x24 cm
PROD061,COMP003,Ruggedized Product Chassis v3.3,SKU-CON-0061-543,Consumer Goods,862.09,433.65,113,59,13.79,25x46x47 cm
PROD062,COMP004,Thermal Imaging Sensor v5.2,SKU-IND-0062-356,Industrial,364.93,176.9,190,52,28.18,83x73x7 cm
PROD063,COMP009,Turbocharger Cartridge v3.3,SKU-AUT-0063-774,Automotive,1079.94,535.5,222,30,37.16,8x15x4 cm
PROD064,COMP010,Variable Frequency Drive (VFD) v7.1,SKU-IND-0064-609,Industrial,1297.35,757.03,378,97,21.81,108x56x21 cm
PROD065,COMP008,Microcontroller Unit v3.8,SKU-ELE-0065-525,Electronics,595.07,418.06,360,56,14.17,96x45x48 cm
PROD066,COMP006,Surgical Grade Titanium Valve v6.9,SKU-MED-0066-675,Medical,147.63,101.43,112,88,20.31,23x17x5 cm
PROD067,COMP005,Medical Grade Power Supply v7.4,SKU-MED-0067-986,Medical,1491.41,768.19,345,100,8.66,25x68x34 cm
PROD068,COMP008,Biocompatible Tubing Assembly v8.1,SKU-MED-0068-192,Medical,1350.64,804.13,173,75,26.31,11x11x20 cm
PROD069,COMP008,Acoustic Noise-Canceling Core v5.9,SKU-CON-0069-108,Consumer Goods,1166.98,722.01,185,113,34.41,51x10x27 cm
PROD070,COMP001,Brushless DC Motor Unit v4.6,SKU-CON-0070-666,Consumer Goods,401.23,254.2,280,91,37.17,84x20x10 cm
PROD071,COMP002,Infusion Drip Rate Monitor v6.9,SKU-MED-0071-474,Medical,915.07,644.78,310,122,22.58,10x9x10 cm
PROD072,COMP006,Precision Peristaltic Pump v8.3,SKU-MED-0072-720,Medical,1040.98,760.5,363,101,7.44,83x43x39 cm
PROD073,COMP006,Brushless DC Motor Unit v9.8,SKU-CON-0073-825,Consumer Goods,800.29,483.95,58,114,15.01,19x58x39 cm
PROD074,COMP005,OLED Display Interface v8.5,SKU-ELE-0074-771,Electronics,1276.05,668.18,345,78,32.5,79x66x12 cm
PROD075,COMP009,Water Filtration Cartridge v3.4,SKU-CON-0075-132,Consumer Goods,908.01,492.03,147,24,19.93,58x24x28 cm
PROD076,COMP004,Precision Peristaltic Pump v8.1,SKU-MED-0076-822,Medical,182.76,128.14,216,142,23.72,45x27x31 cm
PROD077,COMP009,Thermal Imaging Sensor v6.5,SKU-IND-0077-724,Industrial,862.64,418.0,192,96,10.24,43x41x47 cm
PROD078,COMP004,Infusion Drip Rate Monitor v8.6,SKU-MED-0078-673,Medical,1530.22,794.47,190,93,5.62,91x74x26 cm
PROD079,COMP007,High-Torque Servo Motor v5.1,SKU-IND-0079-394,Industrial,1070.31,812.58,276,85,33.67,32x30x54 cm
PROD080,COMP009,Thermal Imaging Sensor v5.3,SKU-IND-0080-211,Industrial,923.6,528.13,174,32,30.19,72x33x42 cm
PROD081,COMP004,FPGA Accelerator Board v7.6,SKU-ELE-0081-834,Electronics,746.49,408.14,120,21,43.41,25x57x43 cm
PROD082,COMP008,Diagnostic Ultrasound Transducer v5.6,SKU-MED-0082-392,Medical,1118.92,553.44,95,79,24.15,97x9x60 cm
PROD083,COMP003,Surgical Grade Titanium Valve v1.7,SKU-MED-0083-906,Medical,874.47,427.38,198,29,0.57,77x18x23 cm
PROD084,COMP005,Precision Peristaltic Pump v9.8,SKU-MED-0084-237,Medical,1195.1,725.26,148,48,14.98,98x63x43 cm
PROD085,COMP005,Heavy-Duty Braking Rotor v6.5,SKU-AUT-0085-681,Automotive,816.42,577.31,362,123,37.24,70x46x7 cm
PROD086,COMP007,High-Power MOSFET Switch v3.8,SKU-ELE-0086-431,Electronics,999.94,796.25,246,80,20.19,39x47x21 cm
PROD087,COMP010,Ergonomic Smart Desk Sensor v5.6,SKU-CON-0087-809,Consumer Goods,382.43,210.4,288,98,7.31,92x69x59 cm
PROD088,COMP005,Precision Voltage Regulator v6.4,SKU-ELE-0088-324,Electronics,1348.83,814.29,282,115,18.8,75x65x50 cm
PROD089,COMP009,Engine Control Module (ECM) v2.9,SKU-AUT-0089-557,Automotive,708.42,454.84,338,48,2.92,75x69x14 cm
PROD090,COMP010,Stainless Steel Enclosure Shell v3.6,SKU-CON-0090-974,Consumer Goods,604.66,448.29,155,145,4.23,70x62x53 cm
PROD091,COMP001,Surgical Grade Titanium Valve v9.7,SKU-MED-0091-567,Medical,836.23,484.78,394,98,32.59,55x37x54 cm
PROD092,COMP001,Turbocharger Cartridge v2.1,SKU-AUT-0092-533,Automotive,392.62,301.04,80,37,44.38,65x9x20 cm
PROD093,COMP007,Electronic Throttle Body v7.6,SKU-AUT-0093-491,Automotive,787.77,388.15,243,116,3.75,89x74x10 cm
PROD094,COMP006,High-Power MOSFET Switch v9.7,SKU-ELE-0094-641,Electronics,248.06,119.15,51,25,44.04,64x74x29 cm
PROD095,COMP009,Diagnostic Ultrasound Transducer v4.8,SKU-MED-0095-454,Medical,200.83,142.41,107,28,36.46,58x7x17 cm
PROD096,COMP004,FPGA Accelerator Board v1.8,SKU-ELE-0096-712,Electronics,1145.68,575.32,175,31,18.19,34x74x15 cm
PROD097,COMP001,ABS Wheel Speed Sensor v5.4,SKU-AUT-0097-935,Automotive,1356.93,779.98,345,102,10.78,117x23x44 cm
PROD098,COMP009,High-Intensity LED Headlight Assembly v5.5,SKU-AUT-0098-162,Automotive,839.21,478.75,139,129,25.08,11x49x43 cm
PROD099,COMP007,Modular LED Light Strip v7.7,SKU-CON-0099-252,Consumer Goods,370.78,263.66,325,141,10.96,33x43x56 cm
PROD100,COMP003,Sterile Fluid Delivery Pump v9.7,SKU-MED-0100-526,Medical,653.66,479.23,174,85,9.27,87x15x30 cm
PROD101,COMP006,LiFePO4 BMS Module v4.1,SKU-ELE-0101-374,Electronics,579.34,328.38,70,38,8.59,102x80x48 cm
PROD102,COMP009,Air Flow Sensor Module v4.6,SKU-AUT-0102-410,Automotive,1028.11,814.0,147,50,33.65,101x66x60 cm
PROD103,COMP004,High-Efficiency HEPA Air Filter v7.4,SKU-CON-0103-665,Consumer Goods,420.13,281.85,288,111,13.98,51x70x58 cm
PROD104,COMP008,Pulse Oximeter Sensor Module v8.6,SKU-MED-0104-308,Medical,517.35,322.97,338,76,33.4,7x38x37 cm
PROD105,COMP010,Water Filtration Cartridge v5.3,SKU-CON-0105-300,Consumer Goods,454.18,288.76,175,147,24.85,92x48x18 cm
PROD106,COMP008,Prosthetic Articulating Joint v3.6,SKU-MED-0106-273,Medical,222.41,129.72,144,35,23.65,112x14x54 cm
PROD107,COMP001,Optocoupler Signal Isolator v3.4,SKU-ELE-0107-169,Electronics,760.64,604.75,308,136,16.89,84x66x44 cm
PROD108,COMP008,Microcontroller Unit v9.9,SKU-ELE-0108-521,Electronics,38.13,22.43,190,93,0.92,109x60x53 cm
PROD109,COMP003,FPGA Accelerator Board v9.3,SKU-ELE-0109-346,Electronics,294.07,173.24,231,88,35.8,15x52x27 cm
PROD110,COMP008,High-Efficiency HEPA Air Filter v4.5,SKU-CON-0110-800,Consumer Goods,930.88,706.0,382,28,4.34,53x53x37 cm
PROD111,COMP008,Microcontroller Unit v3.2,SKU-ELE-0111-611,Electronics,1295.51,720.46,219,44,40.28,10x34x15 cm
PROD112,COMP010,Biocompatible Tubing Assembly v1.2,SKU-MED-0112-800,Medical,1586.71,787.68,338,28,8.19,113x45x3 cm
PROD113,COMP004,Stainless Steel Enclosure Shell v7.2,SKU-CON-0113-406,Consumer Goods,216.05,148.55,249,104,17.37,99x22x52 cm
PROD114,COMP002,Modular LED Light Strip v1.2,SKU-CON-0114-547,Consumer Goods,272.02,206.92,359,121,43.61,46x8x42 cm
PROD115,COMP005,Prosthetic Articulating Joint v4.6,SKU-MED-0115-666,Medical,1294.8,800.71,398,117,3.99,84x42x53 cm
PROD116,COMP004,FPGA Accelerator Board v5.3,SKU-ELE-0116-489,Electronics,1088.55,608.53,249,101,16.33,16x5x21 cm
PROD117,COMP008,Industrial Gearbox Reducer v2.3,SKU-IND-0117-189,Industrial,276.44,169.44,334,124,4.78,16x50x37 cm
PROD118,COMP002,Ruggedized Product Chassis v6.7,SKU-CON-0118-112,Consumer Goods,405.84,256.92,93,82,25.8,26x53x12 cm
PROD119,COMP003,Industrial Gearbox Reducer v5.8,SKU-IND-0119-249,Industrial,106.06,65.49,265,96,21.87,14x51x18 cm
PROD120,COMP004,Medical Grade Power Supply v4.8,SKU-MED-0120-209,Medical,158.19,125.97,252,105,37.9,53x47x30 cm
PROD121,COMP006,Medical Grade Power Supply v3.5,SKU-MED-0121-428,Medical,953.07,517.69,295,100,8.12,55x45x20 cm
PROD122,COMP008,High-Efficiency HEPA Air Filter v6.7,SKU-CON-0122-387,Consumer Goods,1102.95,696.31,108,71,26.71,74x28x45 cm
PROD123,COMP009,ARM Cortex Mainboard v4.8,SKU-ELE-0123-916,Electronics,471.66,256.49,259,147,6.39,43x35x18 cm
PROD124,COMP003,Electrocardiogram Signal Amplifier v2.8,SKU-MED-0124-712,Medical,658.32,413.86,309,127,24.53,106x51x46 cm
PROD125,COMP009,Rechargeable Lithium Battery Pack v2.4,SKU-CON-0125-773,Consumer Goods,791.95,569.18,363,31,25.41,87x56x50 cm
PROD126,COMP006,Pulse Oximeter Sensor Module v1.2,SKU-MED-0126-364,Medical,374.01,198.43,335,76,20.14,55x64x51 cm
PROD127,COMP010,Stainless Steel Enclosure Shell v6.1,SKU-CON-0127-594,Consumer Goods,160.45,100.06,93,49,37.43,98x23x24 cm
PROD128,COMP005,Programmable Logic Controller (PLC) v4.9,SKU-IND-0128-594,Industrial,405.49,304.2,281,101,3.16,10x19x3 cm
PROD129,COMP006,High-Power MOSFET Switch v4.9,SKU-ELE-0129-278,Electronics,726.96,474.72,268,138,10.55,56x28x13 cm
PROD130,COMP007,Sterile Fluid Delivery Pump v4.8,SKU-MED-0130-706,Medical,466.72,372.25,159,72,12.63,95x13x38 cm
PROD131,COMP002,Stainless Steel Enclosure Shell v6.6,SKU-CON-0131-301,Consumer Goods,582.87,395.7,300,100,26.92,83x55x39 cm
PROD132,COMP002,Heavy Duty Conveyor Bearing v8.3,SKU-IND-0132-933,Industrial,1113.2,576.63,364,41,30.29,45x20x17 cm
PROD133,COMP005,High-Power MOSFET Switch v6.3,SKU-ELE-0133-623,Electronics,593.57,337.84,344,118,19.12,67x73x46 cm
PROD134,COMP003,Stainless Steel Enclosure Shell v8.5,SKU-CON-0134-243,Consumer Goods,332.59,169.2,367,33,38.97,6x67x10 cm
PROD135,COMP004,Precision Peristaltic Pump v9.8,SKU-MED-0135-518,Medical,939.41,585.93,277,145,7.65,77x8x52 cm
PROD136,COMP004,Hydraulic Cylinder Assembly v5.4,SKU-IND-0136-650,Industrial,486.56,254.26,339,146,24.81,19x78x9 cm
PROD137,COMP005,Modular LED Light Strip v9.1,SKU-CON-0137-878,Consumer Goods,1053.76,614.65,267,46,33.16,88x36x21 cm
PROD138,COMP001,Biocompatible Tubing Assembly v6.2,SKU-MED-0138-549,Medical,995.03,737.18,171,73,36.51,80x49x57 cm
PROD139,COMP010,Surgical Grade Titanium Valve v3.4,SKU-MED-0139-933,Medical,241.64,185.81,229,91,26.92,26x46x47 cm
PROD140,COMP005,Linear Motion Actuator v5.9,SKU-IND-0140-795,Industrial,949.14,695.21,260,35,44.66,115x21x46 cm
PROD141,COMP003,Electronic Throttle Body v6.4,SKU-AUT-0141-879,Automotive,1138.72,718.98,122,88,28.31,53x62x6 cm
PROD142,COMP002,Precision Peristaltic Pump v5.6,SKU-MED-0142-565,Medical,1235.3,808.34,51,43,32.93,63x50x56 cm
PROD143,COMP002,Water Filtration Cartridge v4.7,SKU-CON-0143-944,Consumer Goods,280.77,189.93,195,106,24.7,21x77x56 cm
PROD144,COMP008,Hydraulic Cylinder Assembly v1.2,SKU-IND-0144-741,Industrial,1097.61,669.01,113,60,19.94,5x59x14 cm
PROD145,COMP003,High-Torque Servo Motor v5.2,SKU-IND-0145-770,Industrial,414.97,314.36,390,62,2.47,85x44x48 cm
PROD146,COMP004,Pulse Oximeter Sensor Module v2.1,SKU-MED-0146-318,Medical,561.24,411.83,165,133,0.57,94x48x54 cm
PROD147,COMP002,Surgical Grade Titanium Valve v8.2,SKU-MED-0147-334,Medical,623.69,333.32,102,46,14.2,117x43x10 cm
PROD148,COMP007,Electronic Throttle Body v2.9,SKU-AUT-0148-676,Automotive,35.33,19.6,275,109,32.55,85x24x60 cm
PROD149,COMP007,Acoustic Noise-Canceling Core v4.2,SKU-CON-0149-202,Consumer Goods,175.78,129.76,246,109,43.35,45x22x17 cm
PROD150,COMP005,Multi-Layer Ceramic Capacitor Pack v9.5,SKU-ELE-0150-897,Electronics,1019.28,800.82,387,97,9.36,82x70x14 cm
PROD151,COMP007,Hydraulic Cylinder Assembly v4.8,SKU-IND-0151-495,Industrial,179.05,106.92,354,38,23.84,6x51x22 cm
PROD152,COMP003,Medical Grade Power Supply v7.6,SKU-MED-0152-659,Medical,1109.49,584.46,87,24,26.49,6x38x15 cm
PROD153,COMP001,Optocoupler Signal Isolator v9.5,SKU-ELE-0153-743,Electronics,1158.97,609.33,266,122,3.85,73x73x41 cm
PROD154,COMP003,Pneumatic Control Valve v5.2,SKU-IND-0154-623,Industrial,1628.8,783.77,129,103,17.67,86x13x21 cm
PROD155,COMP007,Heavy-Duty Braking Rotor v4.2,SKU-AUT-0155-544,Automotive,194.11,109.64,78,99,30.02,89x27x9 cm
PROD156,COMP001,Heavy-Duty Braking Rotor v3.8,SKU-AUT-0156-455,Automotive,862.99,450.52,182,62,16.83,100x39x48 cm
PROD157,COMP002,Industrial IoT Transceiver v7.5,SKU-ELE-0157-636,Electronics,122.44,65.99,345,39,22.4,70x51x5 cm
PROD158,COMP008,Stainless Steel Enclosure Shell v6.3,SKU-CON-0158-361,Consumer Goods,1327.01,660.16,395,49,10.39,70x5x4 cm
PROD159,COMP001,Heavy-Duty Braking Rotor v8.6,SKU-AUT-0159-492,Automotive,1098.12,783.19,68,127,10.22,36x58x60 cm
PROD160,COMP006,Pneumatic Control Valve v6.2,SKU-IND-0160-614,Industrial,746.32,576.41,164,31,42.94,13x64x57 cm
PROD161,COMP005,Heavy Duty Conveyor Bearing v2.9,SKU-IND-0161-567,Industrial,27.23,19.17,338,97,33.32,36x64x25 cm
PROD162,COMP010,Diagnostic Ultrasound Transducer v9.4,SKU-MED-0162-254,Medical,28.52,17.84,169,108,28.67,93x6x23 cm
PROD163,COMP001,Biocompatible Tubing Assembly v2.4,SKU-MED-0163-642,Medical,1343.1,835.86,80,56,32.07,16x10x60 cm
PROD164,COMP004,Water Filtration Cartridge v6.8,SKU-CON-0164-865,Consumer Goods,111.31,83.61,118,120,3.51,77x12x29 cm
PROD165,COMP003,Hydraulic Power Steering Pump v5.6,SKU-AUT-0165-920,Automotive,668.55,341.6,217,101,20.46,34x14x14 cm
PROD166,COMP003,Rechargeable Lithium Battery Pack v3.2,SKU-CON-0166-268,Consumer Goods,590.1,389.01,111,111,43.41,31x62x21 cm
PROD167,COMP008,Pneumatic Control Valve v2.3,SKU-IND-0167-926,Industrial,1146.21,587.07,358,30,9.79,114x46x11 cm
PROD168,COMP002,Transmission Solenoid Valve v7.9,SKU-AUT-0168-150,Automotive,852.73,579.64,139,27,42.85,114x62x37 cm
PROD169,COMP009,Drive Shaft Universal Joint v8.2,SKU-AUT-0169-923,Automotive,916.57,677.32,81,76,6.01,110x56x25 cm
PROD170,COMP002,Ruggedized Product Chassis v5.2,SKU-CON-0170-122,Consumer Goods,1202.0,847.62,380,133,36.45,16x47x9 cm
PROD171,COMP001,Sterile Fluid Delivery Pump v3.7,SKU-MED-0171-941,Medical,1035.14,619.21,245,129,7.9,32x28x19 cm
PROD172,COMP005,Surgical Grade Titanium Valve v1.4,SKU-MED-0172-762,Medical,415.49,259.65,331,142,2.88,40x54x10 cm
PROD173,COMP007,ABS Wheel Speed Sensor v4.9,SKU-AUT-0173-913,Automotive,45.46,28.86,233,142,24.57,67x49x60 cm
PROD174,COMP010,Modular LED Light Strip v7.5,SKU-CON-0174-284,Consumer Goods,60.34,34.33,65,91,2.78,65x72x24 cm
PROD175,COMP010,Electronic Throttle Body v2.4,SKU-AUT-0175-772,Automotive,365.38,214.47,78,76,25.97,107x54x24 cm
PROD176,COMP003,Engine Control Module (ECM) v6.6,SKU-AUT-0176-705,Automotive,66.66,36.12,340,56,25.41,29x68x36 cm
PROD177,COMP005,Air Flow Sensor Module v1.2,SKU-AUT-0177-157,Automotive,297.71,207.32,319,142,0.18,83x30x53 cm
PROD178,COMP003,High-Torque Servo Motor v6.1,SKU-IND-0178-122,Industrial,251.85,136.21,122,48,38.11,115x51x6 cm
PROD179,COMP006,Medical Grade Power Supply v2.6,SKU-MED-0179-409,Medical,587.83,282.68,273,144,29.27,27x76x46 cm
PROD180,COMP010,Variable Frequency Drive (VFD) v3.7,SKU-IND-0180-414,Industrial,941.04,627.22,140,20,42.7,78x55x56 cm
PROD181,COMP010,High-Power MOSFET Switch v6.4,SKU-ELE-0181-754,Electronics,994.75,486.15,122,104,33.58,35x49x22 cm
PROD182,COMP003,Industrial IoT Transceiver v8.1,SKU-ELE-0182-371,Electronics,345.97,188.11,229,85,35.45,97x5x5 cm
PROD183,COMP007,Electrocardiogram Signal Amplifier v3.7,SKU-MED-0183-604,Medical,1162.93,750.98,242,45,37.32,105x78x43 cm
PROD184,COMP004,Air Flow Sensor Module v2.1,SKU-AUT-0184-401,Automotive,43.16,29.32,103,38,15.48,118x53x12 cm
PROD185,COMP002,Rechargeable Lithium Battery Pack v6.8,SKU-CON-0185-821,Consumer Goods,78.88,38.46,134,131,7.2,17x47x15 cm
PROD186,COMP004,Precision Peristaltic Pump v9.5,SKU-MED-0186-776,Medical,360.48,248.28,75,120,25.79,112x67x11 cm
PROD187,COMP001,Hydraulic Cylinder Assembly v7.2,SKU-IND-0187-401,Industrial,1251.4,702.51,295,71,4.5,31x26x42 cm
PROD188,COMP005,ARM Cortex Mainboard v2.5,SKU-ELE-0188-903,Electronics,575.31,345.38,388,87,4.24,74x54x13 cm
PROD189,COMP006,Infusion Drip Rate Monitor v3.8,SKU-MED-0189-145,Medical,383.37,233.01,165,88,25.46,24x17x7 cm
PROD190,COMP006,Water Filtration Cartridge v4.9,SKU-CON-0190-162,Consumer Goods,1394.38,716.67,264,141,25.84,35x65x21 cm
PROD191,COMP002,Sterile Fluid Delivery Pump v9.9,SKU-MED-0191-919,Medical,1024.15,491.12,125,50,42.72,62x27x12 cm
PROD192,COMP004,Electronic Throttle Body v1.7,SKU-AUT-0192-180,Automotive,1361.16,840.18,371,57,37.56,38x45x60 cm
PROD193,COMP002,Optocoupler Signal Isolator v9.7,SKU-ELE-0193-665,Electronics,424.1,285.63,284,23,35.43,84x80x35 cm
PROD194,COMP007,Optocoupler Signal Isolator v3.3,SKU-ELE-0194-680,Electronics,956.58,504.89,101,47,25.39,17x41x57 cm
PROD195,COMP009,Pressure Transmitter Gauge v5.7,SKU-IND-0195-770,Industrial,740.95,419.18,69,64,12.5,23x56x4 cm
PROD196,COMP007,Variable Frequency Drive (VFD) v1.8,SKU-IND-0196-375,Industrial,967.84,763.76,205,99,12.72,67x17x57 cm
