shipment_item_id,shipment_id,product_id,quantity
SHIPITEM00122,SHIP00044,PROD294,87
SHIPITEM00123,SHIP00044,PROD036,23
SHIPITEM00124,SHIP00044,PROD127,10
SHIPITEM00125,SHIP00044,PROD015,44
SHIPITEM00126,SHIP00045,PROD461,138
SHIPITEM00127,SHIP00045,PROD329,27
SHIPITEM00128,SHIP00046,PROD215,90
SHIPITEM00129,SHIP00046,PROD342,101
SHIPITEM00130,SHIP00046,PROD027,40
SHIPITEM00131,SHIP00047,PROD303,120
SHIPITEM00132,SHIP00047,PROD131,108
SHIPITEM00133,SHIP00047,PROD235,136
SHIPITEM00134,SHIP00047,PROD296,139
SHIPITEM00135,SHIP00048,PROD406,103
SHIPITEM00136,SHIP00048,PROD330,75
SHIPITEM00137,SHIP00049,PROD133,57
SHIPITEM00138,SHIP00049,PROD207,127
SHIPITEM00139,SHIP00050,PROD115,6
SHIPITEM00140,SHIP00050,PROD374,74
SHIPITEM00141,SHIP00051,PROD452,65
SHIPITEM00142,SHIP00051,PROD078,77
SHIPITEM00143,SHIP00052,PROD331,37
SHIPITEM00144,SHIP00052,PROD426,139
SHIPITEM00145,SHIP00052,PROD024,27
SHIPITEM00146,SHIP00052,PROD062,78
SHIPITEM00147,SHIP00053,PROD070,39
SHIPITEM00148,SHIP00053,PROD301,18
SHIPITEM00149,SHIP00053,PROD177,129
SHIPITEM00150,SHIP00054,PROD254,79
SHIPITEM00151,SHIP00054,PROD376,30
SHIPITEM00152,SHIP00054,PROD337,82
SHIPITEM00153,SHIP00055,PROD122,131
SHIPITEM00154,SHIP00055,PROD231,14
SHIPITEM00155,SHIP00055,PROD023,71
SHIPITEM00156,SHIP00056,PROD392,121
SHIPITEM00157,SHIP00057,PROD192,87
SHIPITEM00158,SHIP00057,PROD492,94
SHIPITEM00159,SHIP00057,PROD123,72
SHIPITEM00160,SHIP00057,PROD441,114
SHIPITEM00161,SHIP00058,PROD275,81
SHIPITEM00162,SHIP00058,PROD453,122
SHIPITEM00163,SHIP00059,PROD029,129
SHIPITEM00164,SHIP00059,PROD313,83
SHIPITEM00165,SHIP00060,PROD295,28
SHIPITEM00166,SHIP00060,PROD487,44
SHIPITEM00167,SHIP00061,PROD285,29
SHIPITEM00168,SHIP00061,PROD051,144
SHIPITEM00169,SHIP00061,PROD189,99
SHIPITEM00170,SHIP00061,PROD052,81
SHIPITEM00171,SHIP00061,PROD153,19
SHIPITEM00172,SHIP00062,PROD412,116
SHIPITEM00173,SHIP00062,PROD206,6
SHIPITEM00174,SHIP00062,PROD172,146
SHIPITEM00175,SHIP00063,PROD344,74
SHIPITEM00176,SHIP00064,PROD359,124
SHIPITEM00177,SHIP00064,PROD464,123
SHIPITEM00178,SHIP00064,PROD290,97
SHIPITEM00179,SHIP00065,PROD126,9
SHIPITEM00180,SHIP00065,PROD150,16
SHIPITEM00181,SHIP00066,PROD092,80
SHIPITEM00182,SHIP00066,PROD314,11
SHIPITEM00183,SHIP00066,PROD014,27
SHIPITEM00184,SHIP00066,PROD452,96
SHIPITEM00185,SHIP00067,PROD368,48
SHIPITEM00186,SHIP00067,PROD415,10
SHIPITEM00187,SHIP00067,PROD139,30
SHIPITEM00188,SHIP00068,PROD398,81
SHIPITEM00189,SHIP00068,PROD095,61
SHIPITEM00190,SHIP00068,PROD022,70
SHIPITEM00191,SHIP00068,PROD304,49
SHIPITEM00192,SHIP00069,PROD495,26
SHIPITEM00193,SHIP00069,PROD443,145
SHIPITEM00194,SHIP00070,PROD263,59
SHIPITEM00195,SHIP00070,PROD244,78
SHIPITEM00196,SHIP00071,PROD077,58
SHIPITEM00197,SHIP00072,PROD162,59
SHIPITEM00198,SHIP00072,PROD253,104
SHIPITEM00199,SHIP00072,PROD051,22
SHIPITEM00200,SHIP00073,PROD255,97
SHIPITEM00201,SHIP00073,PROD264,58
SHIPITEM00202,SHIP00073,PROD466,98
SHIPITEM00203,SHIP00074,PROD164,86
SHIPITEM00204,SHIP00074,PROD445,87
SHIPITEM00205,SHIP00074,PROD127,92
SHIPITEM00206,SHIP00075,PROD128,66
SHIPITEM00207,SHIP00075,PROD216,145
SHIPITEM00208,SHIP00075,PROD476,131
SHIPITEM00209,SHIP00075,PROD028,37
SHIPITEM00210,SHIP00075,PROD148,78
SHIPITEM00211,SHIP00076,PROD151,114
SHIPITEM00212,SHIP00076,PROD286,72
SHIPITEM00213,SHIP00076,PROD388,35
SHIPITEM00214,SHIP00076,PROD208,81
SHIPITEM00215,SHIP00076,PROD375,81
SHIPITEM00216,SHIP00076,PROD017,44
SHIPITEM00217,SHIP00077,PROD444,102
SHIPITEM00218,SHIP00077,PROD347,54
SHIPITEM00219,SHIP00078,PROD249,17
SHIPITEM00220,SHIP00079,PROD271,114
SHIPITEM00221,SHIP00079,PROD280,56
SHIPITEM00222,SHIP00079,PROD001,91
SHIPITEM00223,SHIP00080,PROD004,51
SHIPITEM00224,SHIP00080,PROD322,104
SHIPITEM00225,SHIP00080,PROD165,93
SHIPITEM00226,SHIP00080,PROD460,66
SHIPITEM00227,SHIP00081,PROD211,146
SHIPITEM00228,SHIP00081,PROD372,95
SHIPITEM00229,SHIP00081,PROD258,106
SHIPITEM00230,SHIP00081,PROD454,145
SHIPITEM00231,SHIP00081,PROD032,65
SHIPITEM00232,SHIP00082,PROD422,83
SHIPITEM00233,SHIP00082,PROD270,12
SHIPITEM00234,SHIP00082,PROD122,51
SHIPITEM00235,SHIP00082,PROD142,122
SHIPITEM00236,SHIP00083,PROD028,75
SHIPITEM00237,SHIP00083,PROD064,50
SHIPITEM00238,SHIP00083,PROD467,91
SHIPITEM00239,SHIP00084,PROD295,144
SHIPITEM00240,SHIP00084,PROD126,62
SHIPITEM00241,SHIP00084,PROD195,81
SHIPITEM00242,SHIP00085,PROD015,93
SHIPITEM00243,SHIP00085,PROD138,81
SHIPITEM00244,SHIP00086,PROD321,78
SHIPITEM00245,SHIP00086,PROD427,104
SHIPITEM00246,SHIP00086,PROD483,11
SHIPITEM00247,SHIP00086,PROD399,106
SHIPITEM00248,SHIP00087,PROD297,110
SHIPITEM00249,SHIP00087,PROD110,116
SHIPITEM00250,SHIP00087,PROD011,55
SHIPITEM00251,SHIP00087,PROD318,84
SHIPITEM00252,SHIP00087,PROD217,36
SHIPITEM00253,SHIP00088,PROD381,15
SHIPITEM00254,SHIP00088,PROD166,71
SHIPITEM00255,SHIP00088,PROD253,96
SHIPITEM00256,SHIP00088,PROD231,91
SHIPITEM00257,SHIP00088,PROD494,80
SHIPITEM00258,SHIP00088,PROD098,54
SHIPITEM00259,SHIP00088,PROD436,111
SHIPITEM00260,SHIP00089,PROD308,59
SHIPITEM00261,SHIP00089,PROD321,23
SHIPITEM00262,SHIP00090,PROD024,15
SHIPITEM00263,SHIP00090,PROD285,60
SHIPITEM00264,SHIP00090,PROD064,143
SHIPITEM00265,SHIP00090,PROD061,130
SHIPITEM00266,SHIP00091,PROD455,119
SHIPITEM00267,SHIP00091,PROD018,132
SHIPITEM00268,SHIP00092,PROD421,137
SHIPITEM00269,SHIP00093,PROD397,7
SHIPITEM00270,SHIP00093,PROD473,111
SHIPITEM00271,SHIP00093,PROD232,103
SHIPITEM00272,SHIP00094,PROD477,55
SHIPITEM00273,SHIP00094,PROD103,27
SHIPITEM00274,SHIP00095,PROD110,21
SHIPITEM00275,SHIP00095,PROD116,51
SHIPITEM00276,SHIP00095,PROD461,130
SHIPITEM00277,SHIP00095,PROD273,40
SHIPITEM00278,SHIP00096,PROD433,97
SHIPITEM00279,SHIP00096,PROD468,83
SHIPITEM00280,SHIP00096,PROD138,56
SHIPITEM00281,SHIP00096,PROD028,63
SHIPITEM00282,SHIP00097,PROD308,67
SHIPITEM00283,SHIP00097,PROD267,136
SHIPITEM00284,SHIP00097,PROD136,77
SHIPITEM00285,SHIP00097,PROD245,68
SHIPITEM00286,SHIP00098,PROD092,137
SHIPITEM00287,SHIP00098,PROD189,8
SHIPITEM00288,SHIP00098,PROD370,28
SHIPITEM00289,SHIP00099,PROD480,110
SHIPITEM00290,SHIP00099,PROD189,44
SHIPITEM00291,SHIP00099,PROD267,9
SHIPITEM00292,SHIP00099,PROD145,14
SHIPITEM00293,SHIP00100,PROD084,7
SHIPITEM00294,SHIP00101,PROD195,107
SHIPITEM00295,SHIP00101,PROD337,20
SHIPITEM00296,SHIP00101,PROD275,33
SHIPITEM00297,SHIP00102,PROD354,17
SHIPITEM00298,SHIP00102,PROD187,93
SHIPITEM00299,SHIP00102,PROD182,29
SHIPITEM00300,SHIP00103,PROD474,101
SHIPITEM00301,SHIP00104,PROD198,40
SHIPITEM00302,SHIP00104,PROD406,80
SHIPITEM00303,SHIP00104,PROD215,83
SHIPITEM00304,SHIP00105,PROD362,70
SHIPITEM00305,SHIP00105,PROD002,27
SHIPITEM00306,SHIP00105,PROD424,27
SHIPITEM00307,SHIP00106,PROD455,105
SHIPITEM00308,SHIP00106,PROD092,75
SHIPITEM00309,SHIP00106,PROD330,31
SHIPITEM00310,SHIP00106,PROD444,56
SHIPITEM00311,SHIP00107,PROD133,139
SHIPITEM00312,SHIP00107,PROD433,96
SHIPITEM00313,SHIP00107,PROD489,108
SHIPITEM00314,SHIP00108,PROD174,22
SHIPITEM00315,SHIP00108,PROD382,6
SHIPITEM00316,SHIP00108,PROD110,97
SHIPITEM00317,SHIP00108,PROD047,64
SHIPITEM00318,SHIP00108,PROD227,118
SHIPITEM00319,SHIP00108,PROD251,49
SHIPITEM00320,SHIP00109,PROD458,55
SHIPITEM00321,SHIP00109,PROD107,70
SHIPITEM00322,SHIP00109,PROD255,54
SHIPITEM00323,SHIP00110,PROD038,20
SHIPITEM00324,SHIP00110,PROD317,11
SHIPITEM00325,SHIP00111,PROD087,10
SHIPITEM00326,SHIP00111,PROD129,23
SHIPITEM00327,SHIP00111,PROD091,38
SHIPITEM00328,SHIP00112,PROD493,39
SHIPITEM00329,SHIP00112,PROD204,100
SHIPITEM00330,SHIP00113,PROD242,133
SHIPITEM00331,SHIP00113,PROD152,84
SHIPITEM00332,SHIP00113,PROD153,133
SHIPITEM00333,SHIP00113,PROD057,78
SHIPITEM00334,SHIP00113,PROD050,49
SHIPITEM00335,SHIP00113,PROD067,28
SHIPITEM00336,SHIP00113,PROD375,128
SHIPITEM00337,SHIP00114,PROD394,43
SHIPITEM00338,SHIP00115,PROD029,78
SHIPITEM00339,SHIP00115,PROD338,126
SHIPITEM00340,SHIP00115,PROD380,147
SHIPITEM00341,SHIP00116,PROD222,116
SHIPITEM00342,SHIP00116,PROD246,22
SHIPITEM00343,SHIP00116,PROD057,111
SHIPITEM00344,SHIP00117,PROD435,150
SHIPITEM00345,SHIP00117,PROD258,24
SHIPITEM00346,SHIP00117,PROD322,44
SHIPITEM00347,SHIP00117,PROD384,103
SHIPITEM00348,SHIP00117,PROD462,65
SHIPITEM00349,SHIP00118,PROD451,83
SHIPITEM00350,SHIP00118,PROD305,27
SHIPITEM00351,SHIP00119,PROD303,59
SHIPITEM00352,SHIP00119,PROD239,55
SHIPITEM00353,SHIP00119,PROD123,16
SHIPITEM00354,SHIP00119,PROD448,138
SHIPITEM00355,SHIP00120,PROD361,144
SHIPITEM00356,SHIP00120,PROD141,97
SHIPITEM00357,SHIP00120,PROD431,44
SHIPITEM00358,SHIP00120,PROD088,132
SHIPITEM00359,SHIP00121,PROD341,64
SHIPITEM00360,SHIP00122,PROD451,80
SHIPITEM00361,SHIP00122,PROD108,103
SHIPITEM00362,SHIP00122,PROD413,71
SHIPITEM00363,SHIP00122,PROD338,128
SHIPITEM00364,SHIP00123,PROD063,8
SHIPITEM00365,SHIP00123,PROD128,23
SHIPITEM00366,SHIP00123,PROD051,100
SHIPITEM00367,SHIP00123,PROD043,37
SHIPITEM00368,SHIP00124,PROD272,94
SHIPITEM00369,SHIP00124,PROD048,95
SHIPITEM00370,SHIP00125,PROD101,148
SHIPITEM00371,SHIP00125,PROD218,139
SHIPITEM00372,SHIP00126,PROD283,65
SHIPITEM00373,SHIP00126,PROD089,100
SHIPITEM00374,SHIP00126,PROD119,30
SHIPITEM00375,SHIP00126,PROD076,23
SHIPITEM00376,SHIP00127,PROD085,49
SHIPITEM00377,SHIP00128,PROD408,120
SHIPITEM00378,SHIP00128,PROD147,9
SHIPITEM00379,SHIP00128,PROD186,58
SHIPITEM00380,SHIP00129,PROD053,19
SHIPITEM00381,SHIP00130,PROD335,45
SHIPITEM00382,SHIP00130,PROD110,76
SHIPITEM00383,SHIP00130,PROD426,125
SHIPITEM00384,SHIP00131,PROD262,25
SHIPITEM00385,SHIP00131,PROD051,76
SHIPITEM00386,SHIP00131,PROD150,51
SHIPITEM00387,SHIP00132,PROD487,92
SHIPITEM00388,SHIP00132,PROD142,75
SHIPITEM00389,SHIP00132,PROD363,100
SHIPITEM00390,SHIP00133,PROD485,64
SHIPITEM00391,SHIP00134,PROD209,72
SHIPITEM00392,SHIP00134,PROD174,134
SHIPITEM00393,SHIP00135,PROD047,149
SHIPITEM00394,SHIP00135,PROD491,23
SHIPITEM00395,SHIP00135,PROD428,112
SHIPITEM00396,SHIP00135,PROD191,105
SHIPITEM00397,SHIP00136,PROD326,28
SHIPITEM00398,SHIP00136,PROD345,117
SHIPITEM00399,SHIP00137,PROD079,18
SHIPITEM00400,SHIP00137,PROD040,34
SHIPITEM00401,SHIP00137,PROD394,127
SHIPITEM00402,SHIP00137,PROD111,28
SHIPITEM00403,SHIP00137,PROD223,82
SHIPITEM00404,SHIP00138,PROD418,77
SHIPITEM00405,SHIP00138,PROD346,89
SHIPITEM00406,SHIP00138,PROD065,56
SHIPITEM00407,SHIP00138,PROD311,30
SHIPITEM00408,SHIP00139,PROD197,79
SHIPITEM00409,SHIP00139,PROD145,30
SHIPITEM00410,SHIP00139,PROD406,145
SHIPITEM00411,SHIP00140,PROD439,12
SHIPITEM00412,SHIP00140,PROD006,137
SHIPITEM00413,SHIP00141,PROD414,8
SHIPITEM00414,SHIP00142,PROD082,124
SHIPITEM00415,SHIP00142,PROD010,106
SHIPITEM00416,SHIP00143,PROD020,143
SHIPITEM00417,SHIP00143,PROD441,114
SHIPITEM00418,SHIP00143,PROD323,89
SHIPITEM00419,SHIP00143,PROD316,25
SHIPITEM00420,SHIP00143,PROD238,62
SHIPITEM00421,SHIP00144,PROD500,138
SHIPITEM00422,SHIP00144,PROD434,122
SHIPITEM00423,SHIP00144,PROD340,137
SHIPITEM00424,SHIP00144,PROD473,24
SHIPITEM00425,SHIP00145,PROD300,35
SHIPITEM00426,SHIP00146,PROD452,115
SHIPITEM00427,SHIP00146,PROD165,125
SHIPITEM00428,SHIP00147,PROD221,144
SHIPITEM00429,SHIP00147,PROD253,141
SHIPITEM00430,SHIP00147,PROD416,89
SHIPITEM00431,SHIP00147,PROD426,35
SHIPITEM00432,SHIP00148,PROD104,147
SHIPITEM00433,SHIP00148,PROD495,99
SHIPITEM00434,SHIP00149,PROD314,20
SHIPITEM00435,SHIP00149,PROD154,21
SHIPITEM00436,SHIP00150,PROD043,99
SHIPITEM00437,SHIP00150,PROD342,9
SHIPITEM00438,SHIP00151,PROD175,144
SHIPITEM00439,SHIP00151,PROD046,146
SHIPITEM00440,SHIP00151,PROD055,28
SHIPITEM00441,SHIP00152,PROD251,74
SHIPITEM00442,SHIP00152,PROD103,135
SHIPITEM00443,SHIP00153,PROD358,108
SHIPITEM00444,SHIP00153,PROD130,110
SHIPITEM00445,SHIP00153,PROD315,120
SHIPITEM00446,SHIP00153,PROD459,100
SHIPITEM00447,SHIP00154,PROD163,40
SHIPITEM00448,SHIP00154,PROD149,54
SHIPITEM00449,SHIP00154,PROD013,29
SHIPITEM00450,SHIP00155,PROD352,103
SHIPITEM00451,SHIP00156,PROD317,29
SHIPITEM00452,SHIP00156,PROD177,61
SHIPITEM00453,SHIP00156,PROD237,95
SHIPITEM00454,SHIP00157,PROD281,42
SHIPITEM00455,SHIP00157,PROD150,48
SHIPITEM00456,SHIP00157,PROD178,74
SHIPITEM00457,SHIP00157,PROD034,20
SHIPITEM00458,SHIP00157,PROD321,49
SHIPITEM00459,SHIP00158,PROD479,53
SHIPITEM00460,SHIP00158,PROD275,16
SHIPITEM00461,SHIP00158,PROD315,56
SHIPITEM00462,SHIP00159,PROD239,75
SHIPITEM00463,SHIP00159,PROD201,5
SHIPITEM00464,SHIP00159,PROD486,106
SHIPITEM00465,SHIP00159,PROD423,52
SHIPITEM00466,SHIP00159,PROD027,113
SHIPITEM00467,SHIP00160,PROD179,96
SHIPITEM00468,SHIP00160,PROD400,56
SHIPITEM00469,SHIP00160,PROD487,118
SHIPITEM00470,SHIP00160,PROD291,114
SHIPITEM00471,SHIP00161,PROD290,38
SHIPITEM00472,SHIP00161,PROD282,117
SHIPITEM00473,SHIP00161,PROD439,39
SHIPITEM00474,SHIP00161,PROD185,15
SHIPITEM00475,SHIP00161,PROD103,115
SHIPITEM00476,SHIP00161,PROD093,106
SHIPITEM00477,SHIP00161,PROD367,123
SHIPITEM00478,SHIP00161,PROD228,99
SHIPITEM00479,SHIP00162,PROD008,132
SHIPITEM00480,SHIP00162,PROD187,59
SHIPITEM00481,SHIP00163,PROD342,70
SHIPITEM00482,SHIP00163,PROD124,100
SHIPITEM00483,SHIP00163,PROD242,20
SHIPITEM00484,SHIP00163,PROD397,134
SHIPITEM00485,SHIP00164,PROD368,40
SHIPITEM00486,SHIP00164,PROD206,149
SHIPITEM00487,SHIP00164,PROD288,71
SHIPITEM00488,SHIP00165,PROD143,112
SHIPITEM00489,SHIP00165,PROD483,129
SHIPITEM00490,SHIP00166,PROD369,26
SHIPITEM00491,SHIP00166,PROD318,22
SHIPITEM00492,SHIP00166,PROD392,114
SHIPITEM00493,SHIP00167,PROD356,12
SHIPITEM00494,SHIP00167,PROD316,14
SHIPITEM00495,SHIP00167,PROD268,73
SHIPITEM00496,SHIP00167,PROD400,119
SHIPITEM00497,SHIP00168,PROD286,48
SHIPITEM00498,SHIP00169,PROD250,148
SHIPITEM00499,SHIP00169,PROD002,117
SHIPITEM00500,SHIP00169,PROD393,126
SHIPITEM00501,SHIP00170,PROD087,81
SHIPITEM00502,SHIP00171,PROD128,16
SHIPITEM00503,SHIP00171,PROD045,37
SHIPITEM00504,SHIP00172,PROD012,59
SHIPITEM00505,SHIP00172,PROD459,108
SHIPITEM00506,SHIP00173,PROD019,92
SHIPITEM00507,SHIP00173,PROD302,72
SHIPITEM00508,SHIP00173,PROD095,42
SHIPITEM00509,SHIP00174,PROD111,136
SHIPITEM00510,SHIP00174,PROD056,36
SHIPITEM00511,SHIP00174,PROD355,144
SHIPITEM00512,SHIP00174,PROD442,20
SHIPITEM00513,SHIP00175,PROD469,121
SHIPITEM00514,SHIP00176,PROD282,60
SHIPITEM00515,SHIP00177,PROD158,38
SHIPITEM00516,SHIP00177,PROD177,131
SHIPITEM00517,SHIP00177,PROD013,96
SHIPITEM00518,SHIP00177,PROD405,144
SHIPITEM00519,SHIP00177,PROD443,106
SHIPITEM00520,SHIP00177,PROD282,137
SHIPITEM00521,SHIP00178,PROD492,81
SHIPITEM00522,SHIP00178,PROD253,111
SHIPITEM00523,SHIP00178,PROD144,117
SHIPITEM00524,SHIP00178,PROD260,71
SHIPITEM00525,SHIP00178,PROD283,144
SHIPITEM00526,SHIP00179,PROD405,70
SHIPITEM00527,SHIP00179,PROD276,47
SHIPITEM00528,SHIP00179,PROD205,90
SHIPITEM00529,SHIP00180,PROD048,129
SHIPITEM00530,SHIP00180,PROD478,79
SHIPITEM00531,SHIP00180,PROD357,40
SHIPITEM00532,SHIP00181,PROD460,18
SHIPITEM00533,SHIP00181,PROD411,109
SHIPITEM00534,SHIP00181,PROD153,116
SHIPITEM00535,SHIP00182,PROD177,26
SHIPITEM00536,SHIP00182,PROD014,22
SHIPITEM00537,SHIP00183,PROD410,34
SHIPITEM00538,SHIP00183,PROD327,146
SHIPITEM00539,SHIP00183,PROD139,31
SHIPITEM00540,SHIP00184,PROD204,10
SHIPITEM00541,SHIP00184,PROD092,107
SHIPITEM00542,SHIP00184,PROD379,46
SHIPITEM00543,SHIP00184,PROD052,109
SHIPITEM00544,SHIP00185,PROD139,9
SHIPITEM00545,SHIP00185,PROD241,45
SHIPITEM00546,SHIP00185,PROD093,17
SHIPITEM00547,SHIP00185,PROD375,102
SHIPITEM00548,SHIP00186,PROD413,38
SHIPITEM00549,SHIP00186,PROD018,76
SHIPITEM00550,SHIP00187,PROD383,81
SHIPITEM00551,SHIP00188,PROD360,104
SHIPITEM00552,SHIP00189,PROD202,75
SHIPITEM00553,SHIP00189,PROD382,122
SHIPITEM00554,SHIP00189,PROD064,40
SHIPITEM00555,SHIP00189,PROD363,130
SHIPITEM00556,SHIP00189,PROD474,58
SHIPITEM00557,SHIP00189,PROD252,22
SHIPITEM00558,SHIP00189,PROD089,139
SHIPITEM00559,SHIP00190,PROD223,73
SHIPITEM00560,SHIP00190,PROD469,104
SHIPITEM00561,SHIP00190,PROD025,41
SHIPITEM00562,SHIP00190,PROD159,9
SHIPITEM00563,SHIP00191,PROD182,24
SHIPITEM00564,SHIP00191,PROD244,116
SHIPITEM00565,SHIP00191,PROD038,127
SHIPITEM00566,SHIP00191,PROD296,56
SHIPITEM00567,SHIP00192,PROD131,28
SHIPITEM00568,SHIP00192,PROD075,30
SHIPITEM00569,SHIP00193,PROD040,102
SHIPITEM00570,SHIP00193,PROD443,84
SHIPITEM00571,SHIP00193,PROD119,38
SHIPITEM00572,SHIP00193,PROD495,7
SHIPITEM00573,SHIP00193,PROD224,131
SHIPITEM00574,SHIP00194,PROD150,61
SHIPITEM00575,SHIP00194,PROD089,72
SHIPITEM00576,SHIP00194,PROD237,41
SHIPITEM00577,SHIP00194,PROD059,81
SHIPITEM00578,SHIP00195,PROD343,39
SHIPITEM00579,SHIP00195,PROD292,37
SHIPITEM00580,SHIP00196,PROD417,112
SHIPITEM00581,SHIP00196,PROD389,79
