health_id,agent_id,heartbeat,cpu_usage,memory_usage,status
HLT00085,AG005,2026-07-21 20:09:00,32.7,26.0,Healthy
HLT00086,AG002,2026-07-20 07:12:00,22.9,43.9,Healthy
HLT00087,AG003,2026-07-27 18:10:00,80.1,35.0,Healthy
HLT00088,AG002,2026-07-25 02:35:00,40.2,71.3,Healthy
HLT00089,AG001,2026-07-26 20:59:00,21.7,33.0,Healthy
HLT00090,AG004,2026-07-26 11:47:00,5.9,21.5,Healthy
HLT00091,AG001,2026-07-18 15:31:00,92.8,18.6,Warning
HLT00092,AG001,2026-07-21 13:40:00,67.6,30.7,Healthy
HLT00093,AG001,2026-07-18 12:46:00,38.6,58.1,Healthy
HLT00094,AG004,2026-07-25 15:15:00,50.3,20.9,Healthy
HLT00095,AG005,2026-07-25 20:39:00,6.9,31.0,Healthy
HLT00096,AG001,2026-07-23 04:47:00,50.2,26.3,Healthy
HLT00097,AG004,2026-07-27 06:21:00,65.1,66.1,Healthy
HLT00098,AG001,2026-07-19 11:49:00,74.4,21.1,Healthy
HLT00099,AG004,2026-07-20 09:03:00,44.7,23.6,Healthy
HLT00100,AG005,2026-07-26 07:01:00,66.7,37.7,Healthy
HLT00101,AG005,2026-07-24 14:56:00,5.9,61.2,Healthy
HLT00102,AG003,2026-07-23 08:54:00,42.4,39.0,Healthy
HLT00103,AG001,2026-07-25 07:14:00,77.1,36.4,Healthy
HLT00104,AG001,2026-07-23 13:10:00,42.0,24.4,Healthy
HLT00105,AG002,2026-07-26 02:01:00,13.9,44.9,Healthy
HLT00106,AG004,2026-07-22 04:15:00,80.6,44.5,Healthy
HLT00107,AG001,2026-07-23 14:11:00,13.5,19.6,Healthy
HLT00108,AG001,2026-07-23 16:45:00,30.2,28.5,Healthy
HLT00109,AG004,2026-07-18 21:53:00,59.1,50.8,Healthy
HLT00110,AG004,2026-07-26 04:16:00,6.7,70.9,Healthy
HLT00111,AG001,2026-07-22 21:42:00,57.9,31.5,Healthy
HLT00112,AG002,2026-07-22 09:34:00,58.2,32.9,Healthy
HLT00113,AG003,2026-07-27 08:07:00,63.3,74.2,Healthy
HLT00114,AG003,2026-07-26 01:19:00,34.4,79.5,Healthy
HLT00115,AG003,2026-07-28 11:07:00,13.5,32.1,Healthy
HLT00116,AG001,2026-07-19 07:22:00,42.8,17.6,Healthy
HLT00117,AG001,2026-07-20 09:46:00,30.1,59.1,Healthy
HLT00118,AG005,2026-07-21 14:12:00,14.5,36.4,Healthy
HLT00119,AG001,2026-07-24 01:05:00,60.4,33.4,Healthy
HLT00120,AG002,2026-07-26 23:07:00,78.1,34.7,Healthy
HLT00121,AG004,2026-07-25 07:39:00,4.8,33.0,Healthy
HLT00122,AG003,2026-07-27 13:42:00,45.8,31.2,Healthy
HLT00123,AG004,2026-07-23 18:03:00,20.2,40.4,Healthy
HLT00124,AG002,2026-07-22 07:13:00,43.4,35.8,Healthy
HLT00125,AG001,2026-07-23 01:10:00,72.8,19.3,Healthy
HLT00126,AG004,2026-07-22 08:43:00,56.4,74.0,Healthy
HLT00127,AG004,2026-07-26 23:52:00,60.5,65.3,Healthy
HLT00128,AG005,2026-07-28 11:39:00,38.9,85.2,Warning
HLT00129,AG005,2026-07-25 16:47:00,47.6,42.7,Healthy
HLT00130,AG003,2026-07-23 21:40:00,62.0,71.4,Healthy
HLT00131,AG001,2026-07-26 15:56:00,82.7,83.5,Warning
HLT00132,AG005,2026-07-21 18:19:00,82.9,16.1,Healthy
HLT00133,AG005,2026-07-23 06:55:00,3.3,29.3,Healthy
HLT00134,AG005,2026-07-20 17:51:00,85.1,49.6,Warning
HLT00135,AG001,2026-07-19 18:14:00,58.9,84.4,Warning
HLT00136,AG005,2026-07-24 17:41:00,59.1,21.3,Healthy
HLT00137,AG004,2026-07-20 06:02:00,24.5,59.1,Healthy
HLT00138,AG001,2026-07-19 06:38:00,11.2,69.0,Healthy
HLT00139,AG005,2026-07-20 10:57:00,56.2,83.2,Warning
HLT00140,AG003,2026-07-21 17:21:00,33.9,87.3,Warning
HLT00141,AG005,2026-07-25 13:39:00,5.4,35.4,Healthy
HLT00142,AG005,2026-07-27 13:04:00,4.0,51.4,Healthy
HLT00143,AG001,2026-07-27 06:14:00,20.2,28.3,Healthy
HLT00144,AG004,2026-07-26 05:02:00,89.2,33.9,Warning
HLT00145,AG002,2026-07-27 02:17:00,66.2,73.3,Healthy
HLT00146,AG002,2026-07-27 13:30:00,10.7,73.5,Healthy
HLT00147,AG005,2026-07-23 15:59:00,48.5,55.7,Healthy
HLT00148,AG003,2026-07-21 14:54:00,5.3,70.4,Healthy
HLT00149,AG001,2026-07-23 13:16:00,3.7,29.4,Offline
HLT00150,AG004,2026-07-23 06:47:00,82.9,31.4,Healthy
HLT00151,AG003,2026-07-22 05:50:00,18.1,27.5,Healthy
HLT00152,AG003,2026-07-23 22:01:00,65.9,72.8,Healthy
HLT00153,AG003,2026-07-24 13:11:00,25.8,71.9,Healthy
HLT00154,AG001,2026-07-19 19:47:00,51.2,53.9,Healthy
HLT00155,AG004,2026-07-21 03:49:00,60.9,27.2,Healthy
HLT00156,AG003,2026-07-25 20:55:00,10.7,43.0,Healthy
HLT00157,AG001,2026-07-18 16:15:00,86.6,32.3,Warning
HLT00158,AG003,2026-07-23 21:54:00,76.6,44.6,Healthy
HLT00159,AG005,2026-07-22 20:58:00,17.9,80.0,Healthy
HLT00160,AG003,2026-07-19 01:59:00,57.1,83.6,Warning
HLT00161,AG002,2026-07-22 05:15:00,40.5,30.1,Healthy
HLT00162,AG003,2026-07-22 11:58:00,18.0,84.8,Warning
HLT00163,AG001,2026-07-26 16:09:00,36.3,83.6,Warning
HLT00164,AG004,2026-07-28 05:19:00,3.2,72.0,Healthy
HLT00165,AG001,2026-07-27 13:53:00,65.7,64.0,Healthy
HLT00166,AG003,2026-07-20 00:02:00,20.5,39.3,Healthy
HLT00167,AG003,2026-07-25 11:45:00,35.6,48.9,Healthy
HLT00168,AG003,2026-07-21 21:39:00,28.7,25.8,Healthy
HLT00169,AG002,2026-07-26 16:56:00,31.8,52.0,Healthy
HLT00170,AG002,2026-07-23 12:41:00,79.2,34.1,Healthy
HLT00171,AG005,2026-07-23 12:44:00,7.1,36.6,Healthy
HLT00172,AG001,2026-07-24 22:33:00,51.6,59.5,Offline
HLT00173,AG004,2026-07-18 20:14:00,84.1,28.8,Healthy
HLT00174,AG003,2026-07-22 07:33:00,22.9,82.5,Warning
HLT00175,AG002,2026-07-27 14:24:00,40.4,75.5,Healthy
HLT00176,AG004,2026-07-24 09:26:00,67.4,83.7,Warning
HLT00177,AG005,2026-07-27 13:35:00,79.9,41.6,Healthy
HLT00178,AG001,2026-07-23 22:20:00,58.5,17.4,Healthy
HLT00179,AG005,2026-07-28 09:06:00,69.4,47.8,Healthy
HLT00180,AG004,2026-07-28 11:32:00,49.0,19.9,Healthy
HLT00181,AG005,2026-07-23 21:36:00,26.2,70.3,Healthy
HLT00182,AG001,2026-07-22 07:04:00,31.6,36.5,Healthy
HLT00183,AG004,2026-07-19 09:04:00,74.8,16.6,Healthy
HLT00184,AG001,2026-07-19 09:56:00,93.4,72.8,Warning
HLT00185,AG002,2026-07-24 13:08:00,67.8,21.7,Offline
HLT00186,AG004,2026-07-22 19:23:00,46.3,25.9,Healthy
HLT00187,AG004,2026-07-26 09:12:00,53.1,82.4,Warning
HLT00188,AG005,2026-07-20 08:34:00,85.2,78.0,Warning
HLT00189,AG002,2026-07-24 12:18:00,65.1,77.6,Healthy
HLT00190,AG004,2026-07-25 10:06:00,44.2,50.7,Healthy
HLT00191,AG005,2026-07-26 23:27:00,93.4,64.3,Warning
HLT00192,AG002,2026-07-19 12:01:00,45.8,70.6,Healthy
HLT00193,AG005,2026-07-26 17:38:00,24.9,70.9,Healthy
HLT00194,AG002,2026-07-20 05:26:00,65.0,73.3,Healthy
HLT00195,AG002,2026-07-22 16:33:00,61.9,20.3,Healthy
HLT00196,AG005,2026-07-28 08:42:00,90.2,54.9,Warning
HLT00197,AG001,2026-07-20 04:32:00,39.3,47.1,Healthy
HLT00198,AG001,2026-07-25 09:49:00,35.4,30.8,Healthy
HLT00199,AG001,2026-07-26 16:02:00,26.4,27.2,Healthy
HLT00200,AG005,2026-07-24 20:56:00,51.6,48.9,Healthy
HLT00201,AG004,2026-07-19 05:33:00,30.1,41.3,Healthy
HLT00202,AG002,2026-07-18 19:36:00,24.7,15.1,Healthy
HLT00203,AG005,2026-07-18 12:49:00,48.0,71.9,Healthy
HLT00204,AG002,2026-07-27 04:45:00,29.0,28.6,Healthy
HLT00205,AG005,2026-07-27 21:53:00,28.5,24.6,Healthy
HLT00206,AG004,2026-07-25 05:53:00,24.5,68.8,Offline
HLT00207,AG004,2026-07-21 01:36:00,7.3,86.1,Warning
HLT00208,AG004,2026-07-27 01:57:00,36.6,41.7,Healthy
HLT00209,AG003,2026-07-18 22:20:00,23.5,54.1,Healthy
HLT00210,AG005,2026-07-20 22:11:00,91.4,80.2,Warning
HLT00211,AG005,2026-07-23 19:56:00,9.2,79.3,Healthy
HLT00212,AG004,2026-07-25 04:39:00,32.3,17.1,Healthy
HLT00213,AG005,2026-07-21 07:21:00,3.7,53.3,Healthy
HLT00214,AG005,2026-07-19 19:26:00,62.5,86.2,Warning
HLT00215,AG003,2026-07-20 21:15:00,86.1,18.7,Warning
HLT00216,AG001,2026-07-27 03:42:00,6.9,75.4,Healthy
HLT00217,AG005,2026-07-19 22:19:00,24.6,24.8,Healthy
HLT00218,AG003,2026-07-23 23:28:00,20.9,15.8,Healthy
HLT00219,AG001,2026-07-20 20:41:00,37.6,58.0,Healthy
HLT00220,AG004,2026-07-18 16:25:00,21.1,66.0,Healthy
HLT00221,AG002,2026-07-24 21:08:00,14.1,83.3,Warning
HLT00222,AG001,2026-07-21 12:24:00,27.4,76.4,Healthy
HLT00223,AG005,2026-07-26 18:39:00,20.2,29.6,Healthy
HLT00224,AG002,2026-07-23 00:27:00,87.1,49.0,Warning
HLT00225,AG002,2026-07-23 00:41:00,7.3,51.4,Healthy
HLT00226,AG003,2026-07-26 14:15:00,93.6,46.9,Warning
HLT00227,AG003,2026-07-22 13:40:00,48.0,33.7,Healthy
HLT00228,AG001,2026-07-25 23:41:00,28.7,51.8,Healthy
HLT00229,AG003,2026-07-26 19:24:00,15.8,84.1,Warning
HLT00230,AG003,2026-07-28 02:52:00,62.7,82.3,Warning
HLT00231,AG001,2026-07-25 21:27:00,30.1,31.2,Healthy
HLT00232,AG005,2026-07-20 03:44:00,57.2,57.7,Healthy
HLT00233,AG004,2026-07-19 02:33:00,93.3,60.8,Warning
HLT00234,AG002,2026-07-23 08:13:00,44.3,80.1,Warning
HLT00235,AG003,2026-07-20 12:35:00,91.3,46.0,Warning
HLT00236,AG002,2026-07-23 05:01:00,23.1,79.8,Healthy
HLT00237,AG004,2026-07-19 04:04:00,78.4,64.1,Healthy
HLT00238,AG001,2026-07-21 04:34:00,64.7,38.0,Healthy
HLT00239,AG005,2026-07-28 03:48:00,60.6,72.5,Healthy
HLT00240,AG003,2026-07-25 08:04:00,48.9,84.0,Warning
HLT00241,AG001,2026-07-20 11:45:00,30.8,46.4,Healthy
HLT00242,AG002,2026-07-18 21:59:00,89.5,27.8,Warning
HLT00243,AG001,2026-07-18 13:14:00,74.4,23.7,Healthy
HLT00244,AG004,2026-07-22 09:43:00,33.2,47.1,Healthy
HLT00245,AG002,2026-07-19 06:19:00,47.0,46.7,Healthy
HLT00246,AG004,2026-07-25 20:11:00,19.7,43.1,Healthy
HLT00247,AG002,2026-07-24 01:53:00,79.4,74.1,Healthy
HLT00248,AG004,2026-07-25 15:22:00,44.3,20.9,Healthy
HLT00249,AG002,2026-07-27 06:41:00,40.3,31.5,Healthy
HLT00250,AG005,2026-07-25 18:45:00,62.3,54.1,Healthy
HLT00251,AG003,2026-07-19 06:24:00,61.0,60.7,Healthy
HLT00252,AG003,2026-07-24 07:01:00,93.3,44.7,Warning
HLT00253,AG001,2026-07-27 18:27:00,33.9,26.4,Healthy
HLT00254,AG004,2026-07-24 15:33:00,12.9,60.5,Healthy
HLT00255,AG005,2026-07-24 21:38:00,4.2,84.1,Warning
HLT00256,AG002,2026-07-25 05:56:00,91.3,55.5,Warning
HLT00257,AG003,2026-07-27 07:03:00,76.3,17.5,Healthy
HLT00258,AG005,2026-07-22 14:33:00,41.6,19.1,Offline
HLT00259,AG004,2026-07-20 06:32:00,3.7,19.7,Healthy
HLT00260,AG001,2026-07-26 00:03:00,91.9,33.7,Warning
HLT00261,AG004,2026-07-26 00:04:00,83.3,42.5,Healthy
HLT00262,AG001,2026-07-22 07:42:00,5.1,31.9,Healthy
HLT00263,AG005,2026-07-20 08:35:00,92.8,51.9,Warning
HLT00264,AG001,2026-07-24 20:29:00,37.5,38.0,Healthy
HLT00265,AG005,2026-07-23 18:38:00,53.1,72.4,Healthy
HLT00266,AG001,2026-07-22 06:44:00,66.4,86.1,Warning
HLT00267,AG004,2026-07-25 06:56:00,34.4,54.4,Healthy
HLT00268,AG001,2026-07-21 07:52:00,80.8,73.5,Healthy
HLT00269,AG005,2026-07-19 00:52:00,52.3,40.4,Healthy
HLT00270,AG002,2026-07-26 12:56:00,56.2,48.7,Healthy
HLT00271,AG004,2026-07-20 12:12:00,49.5,33.7,Healthy
HLT00272,AG005,2026-07-26 18:37:00,88.6,68.6,Warning
HLT00273,AG001,2026-07-26 11:07:00,88.0,60.0,Warning
HLT00274,AG004,2026-07-27 14:29:00,21.5,49.2,Healthy
HLT00275,AG001,2026-07-20 19:12:00,10.4,65.0,Healthy
HLT00276,AG001,2026-07-22 11:52:00,10.9,34.2,Healthy
HLT00277,AG005,2026-07-25 03:23:00,51.4,78.3,Healthy
HLT00278,AG004,2026-07-21 13:14:00,22.3,87.6,Warning
HLT00279,AG001,2026-07-24 08:02:00,8.8,60.8,Healthy
HLT00280,AG003,2026-07-22 00:04:00,49.8,52.2,Healthy
HLT00281,AG001,2026-07-25 05:40:00,28.9,34.4,Offline
HLT00282,AG003,2026-07-19 00:08:00,64.7,57.3,Healthy
HLT00283,AG003,2026-07-23 11:20:00,86.2,52.0,Warning
HLT00284,AG002,2026-07-26 21:06:00,4.0,20.2,Healthy
HLT00285,AG001,2026-07-20 20:02:00,17.7,36.2,Healthy
HLT00286,AG004,2026-07-27 13:39:00,6.2,46.1,Healthy
HLT00287,AG003,2026-07-19 05:09:00,66.0,54.9,Healthy
HLT00288,AG003,2026-07-25 09:17:00,69.4,67.4,Healthy
HLT00289,AG003,2026-07-21 03:07:00,22.0,26.7,Healthy
HLT00290,AG003,2026-07-27 08:39:00,54.5,62.6,Healthy
HLT00291,AG002,2026-07-23 03:17:00,64.5,30.9,Healthy
HLT00292,AG001,2026-07-22 10:09:00,36.6,57.1,Healthy
HLT00293,AG004,2026-07-26 04:58:00,28.9,86.8,Warning
HLT00294,AG003,2026-07-23 22:48:00,89.0,22.9,Warning
HLT00295,AG002,2026-07-28 05:30:00,42.5,56.5,Healthy
HLT00296,AG001,2026-07-22 19:42:00,30.7,52.1,Healthy
HLT00297,AG005,2026-07-23 00:26:00,77.9,85.9,Warning
HLT00298,AG004,2026-07-23 04:43:00,60.6,20.6,Healthy
HLT00299,AG001,2026-07-19 09:56:00,59.2,47.0,Healthy
HLT00300,AG001,2026-07-27 22:09:00,50.8,37.1,Healthy
HLT00301,AG004,2026-07-22 02:48:00,73.5,15.5,Healthy
HLT00302,AG003,2026-07-20 08:41:00,83.7,69.7,Healthy
HLT00303,AG003,2026-07-20 00:22:00,37.3,75.0,Healthy
HLT00304,AG002,2026-07-23 21:13:00,86.1,65.5,Warning
HLT00305,AG001,2026-07-19 13:59:00,55.1,71.0,Healthy
HLT00306,AG005,2026-07-21 10:57:00,23.0,51.9,Healthy
HLT00307,AG005,2026-07-26 05:36:00,15.3,59.8,Healthy
HLT00308,AG004,2026-07-26 01:59:00,44.3,81.8,Warning
HLT00309,AG005,2026-07-26 09:09:00,63.5,64.1,Healthy
HLT00310,AG003,2026-07-20 17:31:00,66.5,43.2,Healthy
HLT00311,AG004,2026-07-20 21:45:00,79.9,59.2,Healthy
HLT00312,AG001,2026-07-26 21:05:00,51.2,30.8,Healthy
HLT00313,AG005,2026-07-27 02:25:00,19.8,56.3,Healthy
HLT00314,AG001,2026-07-27 08:06:00,7.2,16.4,Offline
HLT00315,AG003,2026-07-27 16:28:00,43.1,18.0,Healthy
HLT00316,AG001,2026-07-18 22:20:00,66.7,77.4,Healthy
HLT00317,AG004,2026-07-22 08:49:00,86.6,39.8,Warning
HLT00318,AG001,2026-07-22 09:55:00,88.5,51.2,Warning
HLT00319,AG005,2026-07-23 07:17:00,51.6,73.2,Healthy
HLT00320,AG004,2026-07-27 12:31:00,17.6,32.1,Healthy
HLT00321,AG002,2026-07-26 03:14:00,27.2,54.8,Healthy
HLT00322,AG004,2026-07-22 19:57:00,35.7,50.3,Healthy
HLT00323,AG001,2026-07-26 21:40:00,21.6,35.2,Healthy
HLT00324,AG004,2026-07-22 06:15:00,37.3,46.8,Healthy
HLT00325,AG005,2026-07-19 19:25:00,22.4,28.3,Healthy
HLT00326,AG003,2026-07-28 01:25:00,80.1,83.1,Warning
HLT00327,AG002,2026-07-18 12:03:00,77.0,29.9,Healthy
HLT00328,AG001,2026-07-24 11:14:00,80.5,50.2,Healthy
HLT00329,AG003,2026-07-24 21:10:00,51.4,51.8,Healthy
HLT00330,AG004,2026-07-22 04:42:00,25.7,25.9,Healthy
HLT00331,AG002,2026-07-28 03:57:00,38.6,56.7,Healthy
HLT00332,AG002,2026-07-22 00:30:00,77.3,27.5,Healthy
HLT00333,AG003,2026-07-27 15:29:00,49.4,19.0,Healthy
HLT00334,AG002,2026-07-22 00:55:00,59.9,42.4,Healthy
HLT00335,AG002,2026-07-22 12:00:00,19.8,34.2,Healthy
HLT00336,AG004,2026-07-25 01:18:00,10.0,86.0,Warning
HLT00337,AG005,2026-07-21 14:14:00,77.9,85.7,Warning
HLT00338,AG004,2026-07-23 20:52:00,49.4,18.2,Healthy
HLT00339,AG002,2026-07-25 11:27:00,17.7,18.3,Healthy
HLT00340,AG004,2026-07-27 10:02:00,42.3,48.6,Healthy
HLT00341,AG001,2026-07-28 06:07:00,12.8,59.9,Healthy
HLT00342,AG005,2026-07-24 20:31:00,31.1,64.7,Healthy
HLT00343,AG004,2026-07-27 09:16:00,19.6,43.9,Healthy
HLT00344,AG004,2026-07-21 06:33:00,3.5,31.7,Healthy
HLT00345,AG001,2026-07-23 23:28:00,93.1,32.5,Warning
HLT00346,AG003,2026-07-23 09:22:00,80.9,20.1,Healthy
HLT00347,AG005,2026-07-25 16:41:00,61.0,25.9,Healthy
HLT00348,AG005,2026-07-20 12:30:00,91.7,45.7,Warning
HLT00349,AG002,2026-07-26 21:32:00,77.4,42.4,Healthy
HLT00350,AG004,2026-07-23 08:47:00,31.3,17.8,Healthy
HLT00351,AG005,2026-07-22 22:11:00,49.7,70.4,Healthy
HLT00352,AG005,2026-07-24 11:06:00,87.3,56.2,Warning
HLT00353,AG002,2026-07-18 12:59:00,52.0,25.4,Healthy
HLT00354,AG003,2026-07-26 02:49:00,65.1,29.1,Healthy
HLT00355,AG005,2026-07-21 11:53:00,90.9,76.3,Warning
HLT00356,AG002,2026-07-21 19:47:00,93.1,36.3,Warning
HLT00357,AG001,2026-07-19 21:26:00,13.5,69.1,Healthy
HLT00358,AG002,2026-07-28 07:53:00,71.3,36.9,Healthy
HLT00359,AG002,2026-07-26 08:42:00,42.4,87.9,Warning
HLT00360,AG003,2026-07-23 01:45:00,45.6,38.9,Healthy
HLT00361,AG001,2026-07-24 20:45:00,25.0,58.0,Healthy
HLT00362,AG005,2026-07-26 21:13:00,64.4,22.9,Healthy
HLT00363,AG004,2026-07-25 19:33:00,3.6,26.4,Healthy
HLT00364,AG001,2026-07-19 06:44:00,64.0,42.7,Healthy
HLT00365,AG002,2026-07-21 04:49:00,77.3,32.4,Healthy
HLT00366,AG001,2026-07-20 01:54:00,20.2,81.5,Warning
HLT00367,AG003,2026-07-24 14:17:00,13.0,28.8,Healthy
HLT00368,AG004,2026-07-24 06:37:00,13.5,22.9,Healthy
HLT00369,AG001,2026-07-26 04:52:00,91.8,30.7,Warning
HLT00370,AG005,2026-07-21 17:11:00,51.1,75.4,Healthy
HLT00371,AG002,2026-07-19 04:18:00,20.8,47.2,Healthy
HLT00372,AG002,2026-07-26 00:43:00,29.7,21.4,Healthy
HLT00373,AG001,2026-07-23 19:26:00,14.5,84.8,Warning
HLT00374,AG004,2026-07-21 04:10:00,19.6,38.0,Healthy
HLT00375,AG001,2026-07-21 05:25:00,12.5,16.3,Healthy
HLT00376,AG001,2026-07-19 06:27:00,28.0,20.5,Healthy
HLT00377,AG003,2026-07-23 07:46:00,85.6,41.0,Warning
HLT00378,AG001,2026-07-24 02:55:00,12.2,28.1,Healthy
HLT00379,AG005,2026-07-18 17:39:00,59.9,51.1,Healthy
HLT00380,AG002,2026-07-21 09:55:00,30.5,54.8,Healthy
HLT00381,AG005,2026-07-22 03:28:00,28.1,80.1,Warning
HLT00382,AG003,2026-07-20 04:03:00,89.8,30.2,Warning
HLT00383,AG005,2026-07-27 03:59:00,15.7,65.7,Healthy
HLT00384,AG005,2026-07-28 08:04:00,62.6,52.3,Healthy
HLT00385,AG003,2026-07-27 20:17:00,7.3,25.2,Healthy
HLT00386,AG004,2026-07-28 08:37:00,21.8,17.6,Healthy
HLT00387,AG001,2026-07-28 08:49:00,3.4,31.2,Healthy
HLT00388,AG003,2026-07-24 16:03:00,50.4,18.6,Healthy
HLT00389,AG003,2026-07-20 10:56:00,18.0,54.2,Healthy
