so_item_id,sales_order_id,product_id,quantity,selling_price
SOITEM00050,SO00019,PROD195,34,740.95
SOITEM00051,SO00019,PROD356,127,85.93
SOITEM00052,SO00019,PROD490,74,1641.02
SOITEM00053,SO00019,PROD218,137,1120.53
SOITEM00054,SO00020,PROD497,46,982.67
SOITEM00055,SO00020,PROD164,73,111.31
SOITEM00056,SO00021,PROD307,60,224.9
SOITEM00057,SO00022,PROD468,11,568.43
SOITEM00058,SO00022,PROD102,140,1028.11
SOITEM00059,SO00023,PROD335,46,545.76
SOITEM00060,SO00023,PROD289,74,686.66
SOITEM00061,SO00023,PROD287,58,206.98
SOITEM00062,SO00023,PROD105,89,454.18
SOITEM00063,SO00024,PROD121,109,953.07
SOITEM00064,SO00024,PROD098,100,839.21
SOITEM00065,SO00024,PROD116,73,1088.55
SOITEM00066,SO00024,PROD036,55,685.85
SOITEM00067,SO00024,PROD463,39,606.23
SOITEM00068,SO00025,PROD113,36,216.05
SOITEM00069,SO00025,PROD180,112,941.04
SOITEM00070,SO00025,PROD183,132,1162.93
SOITEM00071,SO00026,PROD476,126,1357.77
SOITEM00072,SO00026,PROD255,128,91.9
SOITEM00073,SO00026,PROD416,45,1288.06
SOITEM00074,SO00026,PROD422,18,1631.47
SOITEM00075,SO00027,PROD439,35,685.44
SOITEM00076,SO00028,PROD239,33,694.49
SOITEM00077,SO00029,PROD162,95,28.52
SOITEM00078,SO00029,PROD214,97,759.99
SOITEM00079,SO00029,PROD145,60,414.97
SOITEM00080,SO00030,PROD134,57,332.59
SOITEM00081,SO00030,PROD010,73,158.98
SOITEM00082,SO00030,PROD448,129,1205.41
SOITEM00083,SO00031,PROD380,83,886.05
SOITEM00084,SO00031,PROD190,5,1394.38
SOITEM00085,SO00031,PROD356,111,85.93
SOITEM00086,SO00031,PROD137,105,1053.76
SOITEM00087,SO00032,PROD154,60,1628.8
SOITEM00088,SO00032,PROD077,46,862.64
SOITEM00089,SO00032,PROD175,136,365.38
SOITEM00090,SO00033,PROD445,23,910.8
SOITEM00091,SO00033,PROD321,30,1229.41
SOITEM00092,SO00033,PROD486,143,81.21
SOITEM00093,SO00033,PROD284,130,1138.02
SOITEM00094,SO00033,PROD016,49,1166.68
SOITEM00095,SO00034,PROD373,53,1408.52
SOITEM00096,SO00035,PROD356,95,85.93
SOITEM00097,SO00035,PROD015,114,351.11
SOITEM00098,SO00036,PROD341,36,1669.85
SOITEM00099,SO00036,PROD104,109,517.35
SOITEM00100,SO00036,PROD275,17,491.51
SOITEM00101,SO00036,PROD220,24,822.57
SOITEM00102,SO00037,PROD056,67,904.05
SOITEM00103,SO00038,PROD139,110,241.64
SOITEM00104,SO00038,PROD500,90,790.4
SOITEM00105,SO00038,PROD031,143,1253.99
SOITEM00106,SO00038,PROD354,13,1247.88
SOITEM00107,SO00039,PROD420,16,932.93
SOITEM00108,SO00039,PROD159,80,1098.12
SOITEM00109,SO00040,PROD182,35,345.97
SOITEM00110,SO00040,PROD019,136,158.03
SOITEM00111,SO00040,PROD121,140,953.07
SOITEM00112,SO00040,PROD414,82,1110.59
SOITEM00113,SO00041,PROD199,139,77.66
SOITEM00114,SO00041,PROD115,85,1294.8
SOITEM00115,SO00041,PROD094,95,248.06
SOITEM00116,SO00041,PROD085,109,816.42
SOITEM00117,SO00042,PROD217,6,487.55
SOITEM00118,SO00042,PROD209,52,857.85
SOITEM00119,SO00042,PROD423,62,1272.27
SOITEM00120,SO00043,PROD323,39,536.07
SOITEM00121,SO00043,PROD294,32,442.63
SOITEM00122,SO00044,PROD294,87,442.63
SOITEM00123,SO00044,PROD036,23,685.85
SOITEM00124,SO00044,PROD127,10,160.45
SOITEM00125,SO00044,PROD015,44,351.11
SOITEM00126,SO00045,PROD461,138,210.86
SOITEM00127,SO00045,PROD329,27,344.07
SOITEM00128,SO00046,PROD215,90,846.19
SOITEM00129,SO00046,PROD342,101,753.8
SOITEM00130,SO00046,PROD027,40,523.24
SOITEM00131,SO00047,PROD303,120,845.11
SOITEM00132,SO00047,PROD131,108,582.87
SOITEM00133,SO00047,PROD235,136,1700.42
SOITEM00134,SO00047,PROD296,139,1262.57
SOITEM00135,SO00048,PROD406,103,455.97
SOITEM00136,SO00048,PROD330,75,717.97
SOITEM00137,SO00049,PROD133,57,593.57
SOITEM00138,SO00049,PROD207,127,764.66
SOITEM00139,SO00050,PROD115,6,1294.8
SOITEM00140,SO00050,PROD374,74,337.05
SOITEM00141,SO00051,PROD452,65,614.75
SOITEM00142,SO00051,PROD078,77,1530.22
SOITEM00143,SO00052,PROD331,37,825.64
SOITEM00144,SO00052,PROD426,139,546.15
SOITEM00145,SO00052,PROD024,27,649.2
SOITEM00146,SO00052,PROD062,78,364.93
SOITEM00147,SO00053,PROD070,39,401.23
SOITEM00148,SO00053,PROD301,18,258.38
SOITEM00149,SO00053,PROD177,129,297.71
SOITEM00150,SO00054,PROD254,79,775.1
SOITEM00151,SO00054,PROD376,30,736.67
SOITEM00152,SO00054,PROD337,82,1315.07
SOITEM00153,SO00055,PROD122,131,1102.95
SOITEM00154,SO00055,PROD231,14,1048.32
SOITEM00155,SO00055,PROD023,71,218.64
SOITEM00156,SO00056,PROD392,121,1608.86
SOITEM00157,SO00057,PROD192,87,1361.16
SOITEM00158,SO00057,PROD492,94,1562.48
SOITEM00159,SO00057,PROD123,72,471.66
SOITEM00160,SO00057,PROD441,114,433.21
SOITEM00161,SO00058,PROD275,81,491.51
SOITEM00162,SO00058,PROD453,122,159.85
SOITEM00163,SO00059,PROD029,129,419.03
SOITEM00164,SO00059,PROD313,83,1083.11
SOITEM00165,SO00060,PROD295,28,226.63
SOITEM00166,SO00060,PROD487,44,541.19
SOITEM00167,SO00061,PROD285,29,653.85
SOITEM00168,SO00061,PROD051,144,643.38
SOITEM00169,SO00061,PROD189,99,383.37
SOITEM00170,SO00061,PROD052,81,594.73
SOITEM00171,SO00061,PROD153,19,1158.97
SOITEM00172,SO00062,PROD412,116,1313.15
SOITEM00173,SO00062,PROD206,6,1118.26
SOITEM00174,SO00062,PROD172,146,415.49
SOITEM00175,SO00063,PROD344,74,1487.38
SOITEM00176,SO00064,PROD359,124,948.38
SOITEM00177,SO00064,PROD464,123,1205.08
SOITEM00178,SO00064,PROD290,97,150.88
SOITEM00179,SO00065,PROD126,9,374.01
SOITEM00180,SO00065,PROD150,16,1019.28
SOITEM00181,SO00066,PROD092,80,392.62
SOITEM00182,SO00066,PROD314,11,1602.76
SOITEM00183,SO00066,PROD014,27,318.73
SOITEM00184,SO00066,PROD452,96,614.75
SOITEM00185,SO00067,PROD368,48,1015.99
SOITEM00186,SO00067,PROD415,10,291.45
SOITEM00187,SO00067,PROD139,30,241.64
SOITEM00188,SO00068,PROD398,81,1174.48
SOITEM00189,SO00068,PROD095,61,200.83
SOITEM00190,SO00068,PROD022,70,225.56
SOITEM00191,SO00068,PROD304,49,340.83
SOITEM00192,SO00069,PROD495,26,114.6
SOITEM00193,SO00069,PROD443,145,556.93
SOITEM00194,SO00070,PROD263,59,963.97
SOITEM00195,SO00070,PROD244,78,128.7
SOITEM00196,SO00071,PROD077,58,862.64
SOITEM00197,SO00072,PROD162,59,28.52
SOITEM00198,SO00072,PROD253,104,874.11
SOITEM00199,SO00072,PROD051,22,643.38
SOITEM00200,SO00073,PROD255,97,91.9
SOITEM00201,SO00073,PROD264,58,576.49
SOITEM00202,SO00073,PROD466,98,1181.87
SOITEM00203,SO00074,PROD164,86,111.31
SOITEM00204,SO00074,PROD445,87,910.8
SOITEM00205,SO00074,PROD127,92,160.45
SOITEM00206,SO00075,PROD128,66,405.49
SOITEM00207,SO00075,PROD216,145,202.05
SOITEM00208,SO00075,PROD476,131,1357.77
SOITEM00209,SO00075,PROD028,37,1322.93
SOITEM00210,SO00075,PROD148,78,35.33
SOITEM00211,SO00076,PROD151,114,179.05
SOITEM00212,SO00076,PROD286,72,1182.9
SOITEM00213,SO00076,PROD388,35,793.41
SOITEM00214,SO00076,PROD208,81,1030.06
SOITEM00215,SO00076,PROD375,81,1156.42
SOITEM00216,SO00076,PROD017,44,704.27
SOITEM00217,SO00077,PROD444,102,692.28
SOITEM00218,SO00077,PROD347,54,89.12
SOITEM00219,SO00078,PROD249,17,713.13
SOITEM00220,SO00079,PROD271,114,854.18
SOITEM00221,SO00079,PROD280,56,1166.65
SOITEM00222,SO00079,PROD001,91,1065.76
SOITEM00223,SO00080,PROD004,51,1203.62
SOITEM00224,SO00080,PROD322,104,975.89
SOITEM00225,SO00080,PROD165,93,668.55
SOITEM00226,SO00080,PROD460,66,139.11
SOITEM00227,SO00081,PROD211,146,1148.88
SOITEM00228,SO00081,PROD372,95,630.0
SOITEM00229,SO00081,PROD258,106,461.24
SOITEM00230,SO00081,PROD454,145,72.36
SOITEM00231,SO00081,PROD032,65,445.25
SOITEM00232,SO00082,PROD422,83,1631.47
SOITEM00233,SO00082,PROD270,12,155.77
SOITEM00234,SO00082,PROD122,51,1102.95
SOITEM00235,SO00082,PROD142,122,1235.3
SOITEM00236,SO00083,PROD028,75,1322.93
SOITEM00237,SO00083,PROD064,50,1297.35
SOITEM00238,SO00083,PROD467,91,642.67
SOITEM00239,SO00084,PROD295,144,226.63
SOITEM00240,SO00084,PROD126,62,374.01
SOITEM00241,SO00084,PROD195,81,740.95
SOITEM00242,SO00085,PROD015,93,351.11
SOITEM00243,SO00085,PROD138,81,995.03
SOITEM00244,SO00086,PROD321,78,1229.41
SOITEM00245,SO00086,PROD427,104,566.06
SOITEM00246,SO00086,PROD483,11,672.5
SOITEM00247,SO00086,PROD399,106,194.51
SOITEM00248,SO00087,PROD297,110,213.96
SOITEM00249,SO00087,PROD110,116,930.88
SOITEM00250,SO00087,PROD011,55,1380.35
SOITEM00251,SO00087,PROD318,84,738.15
SOITEM00252,SO00087,PROD217,36,487.55
SOITEM00253,SO00088,PROD381,15,179.0
SOITEM00254,SO00088,PROD166,71,590.1
SOITEM00255,SO00088,PROD253,96,874.11
SOITEM00256,SO00088,PROD231,91,1048.32
SOITEM00257,SO00088,PROD494,80,806.62
SOITEM00258,SO00088,PROD098,54,839.21
SOITEM00259,SO00088,PROD436,111,618.73
SOITEM00260,SO00089,PROD308,59,698.97
SOITEM00261,SO00089,PROD321,23,1229.41
SOITEM00262,SO00090,PROD024,15,649.2
SOITEM00263,SO00090,PROD285,60,653.85
SOITEM00264,SO00090,PROD064,143,1297.35
SOITEM00265,SO00090,PROD061,130,862.09
SOITEM00266,SO00091,PROD455,119,1079.54
SOITEM00267,SO00091,PROD018,132,671.51
SOITEM00268,SO00092,PROD421,137,1053.38
SOITEM00269,SO00093,PROD397,7,72.85
SOITEM00270,SO00093,PROD473,111,352.49
SOITEM00271,SO00093,PROD232,103,224.33
SOITEM00272,SO00094,PROD477,55,1211.96
SOITEM00273,SO00094,PROD103,27,420.13
SOITEM00274,SO00095,PROD110,21,930.88
SOITEM00275,SO00095,PROD116,51,1088.55
SOITEM00276,SO00095,PROD461,130,210.86
SOITEM00277,SO00095,PROD273,40,145.43
SOITEM00278,SO00096,PROD433,97,938.56
SOITEM00279,SO00096,PROD468,83,568.43
SOITEM00280,SO00096,PROD138,56,995.03
SOITEM00281,SO00096,PROD028,63,1322.93
SOITEM00282,SO00097,PROD308,67,698.97
SOITEM00283,SO00097,PROD267,136,693.98
SOITEM00284,SO00097,PROD136,77,486.56
SOITEM00285,SO00097,PROD245,68,932.89
SOITEM00286,SO00098,PROD092,137,392.62
SOITEM00287,SO00098,PROD189,8,383.37
SOITEM00288,SO00098,PROD370,28,305.22
SOITEM00289,SO00099,PROD480,110,967.75
SOITEM00290,SO00099,PROD189,44,383.37
SOITEM00291,SO00099,PROD267,9,693.98
SOITEM00292,SO00099,PROD145,14,414.97
SOITEM00293,SO00100,PROD084,7,1195.1
SOITEM00294,SO00101,PROD195,107,740.95
SOITEM00295,SO00101,PROD337,20,1315.07
SOITEM00296,SO00101,PROD275,33,491.51
SOITEM00297,SO00102,PROD354,17,1247.88
SOITEM00298,SO00102,PROD187,93,1251.4
SOITEM00299,SO00102,PROD182,29,345.97
SOITEM00300,SO00103,PROD474,101,828.38
SOITEM00301,SO00104,PROD198,40,220.57
SOITEM00302,SO00104,PROD406,80,455.97
SOITEM00303,SO00104,PROD215,83,846.19
SOITEM00304,SO00105,PROD362,70,1010.26
SOITEM00305,SO00105,PROD002,27,1680.23
SOITEM00306,SO00105,PROD424,27,446.5
SOITEM00307,SO00106,PROD455,105,1079.54
SOITEM00308,SO00106,PROD092,75,392.62
SOITEM00309,SO00106,PROD330,31,717.97
SOITEM00310,SO00106,PROD444,56,692.28
SOITEM00311,SO00107,PROD133,139,593.57
SOITEM00312,SO00107,PROD433,96,938.56
SOITEM00313,SO00107,PROD489,108,924.46
SOITEM00314,SO00108,PROD174,22,60.34
SOITEM00315,SO00108,PROD382,6,439.42
SOITEM00316,SO00108,PROD110,97,930.88
SOITEM00317,SO00108,PROD047,64,117.41
SOITEM00318,SO00108,PROD227,118,977.2
SOITEM00319,SO00108,PROD251,49,1241.42
SOITEM00320,SO00109,PROD458,55,671.32
SOITEM00321,SO00109,PROD107,70,760.64
SOITEM00322,SO00109,PROD255,54,91.9
SOITEM00323,SO00110,PROD038,20,1340.93
SOITEM00324,SO00110,PROD317,11,1115.3
SOITEM00325,SO00111,PROD087,10,382.43
SOITEM00326,SO00111,PROD129,23,726.96
SOITEM00327,SO00111,PROD091,38,836.23
SOITEM00328,SO00112,PROD493,39,314.62
SOITEM00329,SO00112,PROD204,100,134.39
SOITEM00330,SO00113,PROD242,133,651.23
SOITEM00331,SO00113,PROD152,84,1109.49
SOITEM00332,SO00113,PROD153,133,1158.97
SOITEM00333,SO00113,PROD057,78,1187.66
SOITEM00334,SO00113,PROD050,49,1340.67
SOITEM00335,SO00113,PROD067,28,1491.41
SOITEM00336,SO00113,PROD375,128,1156.42
SOITEM00337,SO00114,PROD394,43,1287.33
SOITEM00338,SO00115,PROD029,78,419.03
SOITEM00339,SO00115,PROD338,126,679.07
SOITEM00340,SO00115,PROD380,147,886.05
SOITEM00341,SO00116,PROD222,116,444.32
SOITEM00342,SO00116,PROD246,22,1511.76
SOITEM00343,SO00116,PROD057,111,1187.66
SOITEM00344,SO00117,PROD435,150,1222.59
SOITEM00345,SO00117,PROD258,24,461.24
SOITEM00346,SO00117,PROD322,44,975.89
SOITEM00347,SO00117,PROD384,103,1361.99
SOITEM00348,SO00117,PROD462,65,334.33
SOITEM00349,SO00118,PROD451,83,1215.34
SOITEM00350,SO00118,PROD305,27,404.92
SOITEM00351,SO00119,PROD303,59,845.11
SOITEM00352,SO00119,PROD239,55,694.49
SOITEM00353,SO00119,PROD123,16,471.66
SOITEM00354,SO00119,PROD448,138,1205.41
SOITEM00355,SO00120,PROD361,144,1008.28
SOITEM00356,SO00120,PROD141,97,1138.72
SOITEM00357,SO00120,PROD431,44,448.84
SOITEM00358,SO00120,PROD088,132,1348.83
SOITEM00359,SO00121,PROD341,64,1669.85
SOITEM00360,SO00122,PROD451,80,1215.34
SOITEM00361,SO00122,PROD108,103,38.13
SOITEM00362,SO00122,PROD413,71,887.22
SOITEM00363,SO00122,PROD338,128,679.07
SOITEM00364,SO00123,PROD063,8,1079.94
SOITEM00365,SO00123,PROD128,23,405.49
SOITEM00366,SO00123,PROD051,100,643.38
SOITEM00367,SO00123,PROD043,37,627.93
SOITEM00368,SO00124,PROD272,94,659.27
SOITEM00369,SO00124,PROD048,95,100.51
SOITEM00370,SO00125,PROD101,148,579.34
SOITEM00371,SO00125,PROD218,139,1120.53
SOITEM00372,SO00126,PROD283,65,922.05
SOITEM00373,SO00126,PROD089,100,708.42
SOITEM00374,SO00126,PROD119,30,106.06
SOITEM00375,SO00126,PROD076,23,182.76
SOITEM00376,SO00127,PROD085,49,816.42
SOITEM00377,SO00128,PROD408,120,1109.12
SOITEM00378,SO00128,PROD147,9,623.69
SOITEM00379,SO00128,PROD186,58,360.48
SOITEM00380,SO00129,PROD053,19,626.38
SOITEM00381,SO00130,PROD335,45,545.76
SOITEM00382,SO00130,PROD110,76,930.88
SOITEM00383,SO00130,PROD426,125,546.15
SOITEM00384,SO00131,PROD262,25,87.94
SOITEM00385,SO00131,PROD051,76,643.38
SOITEM00386,SO00131,PROD150,51,1019.28
SOITEM00387,SO00132,PROD487,92,541.19
SOITEM00388,SO00132,PROD142,75,1235.3
SOITEM00389,SO00132,PROD363,100,790.74
SOITEM00390,SO00133,PROD485,64,1226.75
SOITEM00391,SO00134,PROD209,72,857.85
SOITEM00392,SO00134,PROD174,134,60.34
SOITEM00393,SO00135,PROD047,149,117.41
SOITEM00394,SO00135,PROD491,23,136.1
SOITEM00395,SO00135,PROD428,112,1043.62
SOITEM00396,SO00135,PROD191,105,1024.15
SOITEM00397,SO00136,PROD326,28,68.46
SOITEM00398,SO00136,PROD345,117,782.66
SOITEM00399,SO00137,PROD079,18,1070.31
SOITEM00400,SO00137,PROD040,34,695.59
SOITEM00401,SO00137,PROD394,127,1287.33
SOITEM00402,SO00137,PROD111,28,1295.51
SOITEM00403,SO00137,PROD223,82,230.59
SOITEM00404,SO00138,PROD418,77,651.35
SOITEM00405,SO00138,PROD346,89,1325.55
SOITEM00406,SO00138,PROD065,56,595.07
SOITEM00407,SO00138,PROD311,30,776.52
SOITEM00408,SO00139,PROD197,79,1098.89
SOITEM00409,SO00139,PROD145,30,414.97
SOITEM00410,SO00139,PROD406,145,455.97
SOITEM00411,SO00140,PROD439,12,685.44
SOITEM00412,SO00140,PROD006,137,1039.67
SOITEM00413,SO00141,PROD414,8,1110.59
SOITEM00414,SO00142,PROD082,124,1118.92
SOITEM00415,SO00142,PROD010,106,158.98
SOITEM00416,SO00143,PROD020,143,710.42
SOITEM00417,SO00143,PROD441,114,433.21
SOITEM00418,SO00143,PROD323,89,536.07
SOITEM00419,SO00143,PROD316,25,756.92
SOITEM00420,SO00143,PROD238,62,88.48
SOITEM00421,SO00144,PROD500,138,790.4
SOITEM00422,SO00144,PROD434,122,1571.95
SOITEM00423,SO00144,PROD340,137,1164.05
SOITEM00424,SO00144,PROD473,24,352.49
SOITEM00425,SO00145,PROD300,35,731.42
SOITEM00426,SO00146,PROD452,115,614.75
SOITEM00427,SO00146,PROD165,125,668.55
SOITEM00428,SO00147,PROD221,144,494.14
SOITEM00429,SO00147,PROD253,141,874.11
SOITEM00430,SO00147,PROD416,89,1288.06
SOITEM00431,SO00147,PROD426,35,546.15
SOITEM00432,SO00148,PROD104,147,517.35
SOITEM00433,SO00148,PROD495,99,114.6
SOITEM00434,SO00149,PROD314,20,1602.76
SOITEM00435,SO00149,PROD154,21,1628.8
SOITEM00436,SO00150,PROD043,99,627.93
SOITEM00437,SO00150,PROD342,9,753.8
SOITEM00438,SO00151,PROD175,144,365.38
SOITEM00439,SO00151,PROD046,146,646.5
SOITEM00440,SO00151,PROD055,28,615.27
SOITEM00441,SO00152,PROD251,74,1241.42
SOITEM00442,SO00152,PROD103,135,420.13
SOITEM00443,SO00153,PROD358,108,769.81
SOITEM00444,SO00153,PROD130,110,466.72
SOITEM00445,SO00153,PROD315,120,477.79
SOITEM00446,SO00153,PROD459,100,671.8
SOITEM00447,SO00154,PROD163,40,1343.1
SOITEM00448,SO00154,PROD149,54,175.78
SOITEM00449,SO00154,PROD013,29,1004.23
SOITEM00450,SO00155,PROD352,103,1269.95
SOITEM00451,SO00156,PROD317,29,1115.3
SOITEM00452,SO00156,PROD177,61,297.71
SOITEM00453,SO00156,PROD237,95,1026.87
SOITEM00454,SO00157,PROD281,42,882.78
SOITEM00455,SO00157,PROD150,48,1019.28
SOITEM00456,SO00157,PROD178,74,251.85
SOITEM00457,SO00157,PROD034,20,710.46
SOITEM00458,SO00157,PROD321,49,1229.41
SOITEM00459,SO00158,PROD479,53,710.31
SOITEM00460,SO00158,PROD275,16,491.51
SOITEM00461,SO00158,PROD315,56,477.79
SOITEM00462,SO00159,PROD239,75,694.49
SOITEM00463,SO00159,PROD201,5,258.6
SOITEM00464,SO00159,PROD486,106,81.21
SOITEM00465,SO00159,PROD423,52,1272.27
SOITEM00466,SO00159,PROD027,113,523.24
SOITEM00467,SO00160,PROD179,96,587.83
SOITEM00468,SO00160,PROD400,56,733.96
SOITEM00469,SO00160,PROD487,118,541.19
SOITEM00470,SO00160,PROD291,114,348.49
SOITEM00471,SO00161,PROD290,38,150.88
SOITEM00472,SO00161,PROD282,117,267.32
SOITEM00473,SO00161,PROD439,39,685.44
SOITEM00474,SO00161,PROD185,15,78.88
SOITEM00475,SO00161,PROD103,115,420.13
SOITEM00476,SO00161,PROD093,106,787.77
SOITEM00477,SO00161,PROD367,123,698.04
SOITEM00478,SO00161,PROD228,99,1114.81
SOITEM00479,SO00162,PROD008,132,1090.21
SOITEM00480,SO00162,PROD187,59,1251.4
SOITEM00481,SO00163,PROD342,70,753.8
SOITEM00482,SO00163,PROD124,100,658.32
SOITEM00483,SO00163,PROD242,20,651.23
SOITEM00484,SO00163,PROD397,134,72.85
SOITEM00485,SO00164,PROD368,40,1015.99
SOITEM00486,SO00164,PROD206,149,1118.26
SOITEM00487,SO00164,PROD288,71,1233.87
SOITEM00488,SO00165,PROD143,112,280.77
SOITEM00489,SO00165,PROD483,129,672.5
SOITEM00490,SO00166,PROD369,26,751.92
SOITEM00491,SO00166,PROD318,22,738.15
SOITEM00492,SO00166,PROD392,114,1608.86
SOITEM00493,SO00167,PROD356,12,85.93
SOITEM00494,SO00167,PROD316,14,756.92
SOITEM00495,SO00167,PROD268,73,1114.89
SOITEM00496,SO00167,PROD400,119,733.96
SOITEM00497,SO00168,PROD286,48,1182.9
SOITEM00498,SO00169,PROD250,148,976.03
SOITEM00499,SO00169,PROD002,117,1680.23
SOITEM00500,SO00169,PROD393,126,663.76
SOITEM00501,SO00170,PROD087,81,382.43
SOITEM00502,SO00171,PROD128,16,405.49
SOITEM00503,SO00171,PROD045,37,157.89
SOITEM00504,SO00172,PROD012,59,1613.13
SOITEM00505,SO00172,PROD459,108,671.8
SOITEM00506,SO00173,PROD019,92,158.03
SOITEM00507,SO00173,PROD302,72,268.83
SOITEM00508,SO00173,PROD095,42,200.83
SOITEM00509,SO00174,PROD111,136,1295.51
SOITEM00510,SO00174,PROD056,36,904.05
SOITEM00511,SO00174,PROD355,144,437.91
SOITEM00512,SO00174,PROD442,20,1012.49
SOITEM00513,SO00175,PROD469,121,1205.87
SOITEM00514,SO00176,PROD282,60,267.32
SOITEM00515,SO00177,PROD158,38,1327.01
SOITEM00516,SO00177,PROD177,131,297.71
SOITEM00517,SO00177,PROD013,96,1004.23
SOITEM00518,SO00177,PROD405,144,53.91
SOITEM00519,SO00177,PROD443,106,556.93
SOITEM00520,SO00177,PROD282,137,267.32
SOITEM00521,SO00178,PROD492,81,1562.48
SOITEM00522,SO00178,PROD253,111,874.11
SOITEM00523,SO00178,PROD144,117,1097.61
SOITEM00524,SO00178,PROD260,71,685.07
SOITEM00525,SO00178,PROD283,144,922.05
SOITEM00526,SO00179,PROD405,70,53.91
SOITEM00527,SO00179,PROD276,47,254.24
SOITEM00528,SO00179,PROD205,90,383.51
SOITEM00529,SO00180,PROD048,129,100.51
SOITEM00530,SO00180,PROD478,79,852.64
SOITEM00531,SO00180,PROD357,40,1000.2
SOITEM00532,SO00181,PROD460,18,139.11
SOITEM00533,SO00181,PROD411,109,1278.66
SOITEM00534,SO00181,PROD153,116,1158.97
SOITEM00535,SO00182,PROD177,26,297.71
SOITEM00536,SO00182,PROD014,22,318.73
SOITEM00537,SO00183,PROD410,34,97.05
SOITEM00538,SO00183,PROD327,146,117.75
SOITEM00539,SO00183,PROD139,31,241.64
SOITEM00540,SO00184,PROD204,10,134.39
SOITEM00541,SO00184,PROD092,107,392.62
SOITEM00542,SO00184,PROD379,46,1377.02
SOITEM00543,SO00184,PROD052,109,594.73
SOITEM00544,SO00185,PROD139,9,241.64
SOITEM00545,SO00185,PROD241,45,876.44
SOITEM00546,SO00185,PROD093,17,787.77
SOITEM00547,SO00185,PROD375,102,1156.42
SOITEM00548,SO00186,PROD413,38,887.22
SOITEM00549,SO00186,PROD018,76,671.51
SOITEM00550,SO00187,PROD383,81,541.16
SOITEM00551,SO00188,PROD360,104,17.56
SOITEM00552,SO00189,PROD202,75,976.76
SOITEM00553,SO00189,PROD382,122,439.42
SOITEM00554,SO00189,PROD064,40,1297.35
SOITEM00555,SO00189,PROD363,130,790.74
SOITEM00556,SO00189,PROD474,58,828.38
SOITEM00557,SO00189,PROD252,22,1563.98
SOITEM00558,SO00189,PROD089,139,708.42
SOITEM00559,SO00190,PROD223,73,230.59
SOITEM00560,SO00190,PROD469,104,1205.87
SOITEM00561,SO00190,PROD025,41,389.26
SOITEM00562,SO00190,PROD159,9,1098.12
SOITEM00563,SO00191,PROD182,24,345.97
SOITEM00564,SO00191,PROD244,116,128.7
SOITEM00565,SO00191,PROD038,127,1340.93
SOITEM00566,SO00191,PROD296,56,1262.57
SOITEM00567,SO00192,PROD131,28,582.87
SOITEM00568,SO00192,PROD075,30,908.01
SOITEM00569,SO00193,PROD040,102,695.59
SOITEM00570,SO00193,PROD443,84,556.93
SOITEM00571,SO00193,PROD119,38,106.06
SOITEM00572,SO00193,PROD495,7,114.6
SOITEM00573,SO00193,PROD224,131,67.1
SOITEM00574,SO00194,PROD150,61,1019.28
