sales_order_id,customer_id,status,order_date,required_delivery,total_amount
SO00034,CUST00117,Delivered,2026-06-18,2026-06-29,74651.56
SO00035,CUST00747,Pending,2025-11-24,2025-11-27,48189.89
SO00036,CUST00643,Delivered,2026-04-18,2026-04-23,144603.1
SO00037,CUST00559,Delivered,2025-10-06,2025-10-18,60571.35
SO00038,CUST00966,Delivered,2026-04-09,2026-04-22,293259.41
SO00039,CUST00801,Cancelled,2025-10-09,2025-10-20,102776.48
SO00040,CUST00660,Shipped,2026-05-08,2026-05-14,258099.21
SO00041,CUST00602,Shipped,2026-01-29,2026-02-02,233408.22
SO00042,CUST00878,Delivered,2025-12-24,2025-12-30,126414.24
SO00043,CUST00344,Processing,2025-10-18,2025-10-28,35070.89
SO00044,CUST00121,Delivered,2025-11-29,2025-12-10,71336.7
SO00045,CUST00465,Processing,2025-09-10,2025-09-18,38388.57
SO00046,CUST00272,Shipped,2026-07-18,2026-07-30,173220.5
SO00047,CUST00250,Cancelled,2025-12-21,2025-12-24,571117.51
SO00048,CUST00345,Delivered,2025-12-11,2025-12-18,100812.66
SO00049,CUST00333,Delivered,2026-07-10,2026-07-18,130945.31
SO00050,CUST00213,Packed,2025-09-06,2025-09-09,32710.5
SO00051,CUST00468,Processing,2026-03-27,2026-04-11,157785.69
SO00052,CUST00668,Processing,2026-01-05,2026-01-19,152456.47
SO00053,CUST00013,Delivered,2025-10-26,2025-10-30,58703.4
SO00054,CUST00680,Delivered,2025-10-23,2025-11-03,191168.74
SO00055,CUST00396,Shipped,2026-04-02,2026-04-15,174686.37
SO00056,CUST00786,Delivered,2026-05-02,2026-05-08,194672.06
SO00057,CUST00721,Shipped,2026-01-09,2026-01-15,348639.5
SO00058,CUST00759,Processing,2025-11-18,2025-12-01,59314.01
SO00059,CUST00782,Delivered,2026-03-18,2026-03-21,143953.0
SO00060,CUST00802,Delivered,2026-06-23,2026-06-26,30158.0
SO00061,CUST00390,Processing,2025-12-25,2026-01-02,219755.56
SO00062,CUST00060,Shipped,2026-05-19,2026-05-31,219696.5
SO00063,CUST00257,Shipped,2026-03-08,2026-03-15,110066.12
SO00064,CUST00612,Delivered,2026-03-13,2026-03-27,280459.32
SO00065,CUST00378,Shipped,2025-10-05,2025-10-10,19674.57
SO00066,CUST00084,Delivered,2026-02-15,2026-02-20,116661.67
SO00067,CUST00027,Shipped,2025-11-24,2025-12-06,58931.22
SO00068,CUST00152,Delivered,2026-04-24,2026-04-29,139873.38
SO00069,CUST00192,Pending,2025-11-10,2025-11-17,83734.45
SO00070,CUST00670,Shipped,2026-04-22,2026-05-06,66912.83
SO00071,CUST00114,Delivered,2026-01-01,2026-01-11,50033.12
SO00072,CUST00041,Delivered,2026-04-22,2026-04-28,106744.48
SO00073,CUST00514,Shipped,2026-01-09,2026-01-21,158173.98
SO00074,CUST00930,Delivered,2026-02-12,2026-02-23,103573.66
SO00075,CUST00123,Shipped,2025-10-24,2025-10-31,285631.61
SO00076,CUST00241,Pending,2026-06-04,2026-06-15,341442.61
SO00077,CUST00372,Delivered,2025-09-26,2025-10-08,75425.04
SO00078,CUST00255,Delivered,2026-02-17,2026-03-03,12123.21
SO00079,CUST00104,Shipped,2026-03-02,2026-03-05,259693.08
SO00080,CUST00534,Packed,2026-01-18,2026-01-26,234233.59
SO00081,CUST00495,Pending,2026-01-09,2026-01-19,315911.37
SO00082,CUST00932,Shipped,2026-03-01,2026-03-05,344238.3
SO00083,CUST00372,Shipped,2026-05-10,2026-05-23,222570.22
SO00084,CUST00022,Packed,2025-12-13,2025-12-22,115840.29
SO00085,CUST00037,Processing,2025-10-23,2025-10-27,113250.66
SO00086,CUST00771,Delivered,2025-09-22,2025-10-05,182779.78
SO00087,CUST00369,Processing,2026-02-04,2026-02-17,286993.33
SO00088,CUST00426,Shipped,2025-09-28,2025-10-06,402419.75
SO00089,CUST00191,Delivered,2025-12-08,2025-12-12,69515.66
SO00090,CUST00715,Processing,2025-10-09,2025-10-23,346561.75
SO00091,CUST00483,Processing,2026-06-08,2026-06-11,217104.58
SO00092,CUST00802,Cancelled,2026-07-05,2026-07-20,144313.06
SO00093,CUST00097,Delivered,2026-03-26,2026-04-06,62742.33
SO00094,CUST00965,Shipped,2026-05-18,2026-05-25,78001.31
SO00095,CUST00444,Shipped,2026-07-03,2026-07-14,108293.53
SO00096,CUST00808,Packed,2025-09-23,2025-09-27,277286.28
SO00097,CUST00287,Shipped,2026-07-16,2026-07-27,242113.91
SO00098,CUST00607,Shipped,2025-12-19,2025-12-29,65402.06
SO00099,CUST00839,Delivered,2025-12-28,2026-01-10,135376.18
SO00100,CUST00210,Processing,2025-12-25,2025-12-28,8365.7
SO00101,CUST00115,Delivered,2026-07-09,2026-07-14,121802.88
SO00102,CUST00503,Packed,2026-03-01,2026-03-09,147627.29
SO00103,CUST00641,Delivered,2026-04-27,2026-05-10,83666.38
SO00104,CUST00959,Delivered,2026-02-02,2026-02-07,115534.17
SO00105,CUST00233,Shipped,2026-05-03,2026-05-18,128139.91
SO00106,CUST00017,Delivered,2025-09-28,2025-10-11,203822.95
SO00107,CUST00950,Shipped,2026-06-29,2026-07-09,272449.67
SO00108,CUST00273,Processing,2025-11-16,2025-11-26,277912.78
SO00109,CUST00367,Shipped,2026-03-17,2026-03-23,95130.0
SO00110,CUST00869,Shipped,2026-06-11,2026-06-23,39086.9
SO00111,CUST00779,Delivered,2025-09-16,2025-09-19,52321.12
SO00112,CUST00461,Shipped,2025-09-15,2025-09-24,25709.18
SO00113,CUST00686,Delivered,2026-04-30,2026-05-11,682065.31
SO00114,CUST00997,Delivered,2026-05-07,2026-05-14,55355.19
SO00115,CUST00080,Cancelled,2026-07-16,2026-07-23,248496.51
SO00116,CUST00742,Delivered,2025-10-15,2025-10-21,216630.1
SO00117,CUST00538,Cancelled,2026-06-29,2026-07-12,399413.84
SO00118,CUST00707,Delivered,2025-11-04,2025-11-14,111806.06
SO00119,CUST00314,Shipped,2026-02-24,2026-02-27,261951.58
SO00120,CUST00489,Pending,2026-05-22,2026-05-27,453442.68
SO00121,CUST00061,Packed,2026-04-17,2026-04-30,106870.4
SO00122,CUST00285,Shipped,2026-02-04,2026-02-13,251068.17
SO00123,CUST00264,Delivered,2026-02-21,2026-03-05,105537.2
SO00124,CUST00858,Processing,2025-10-08,2025-10-21,71519.83
SO00125,CUST00961,Delivered,2025-10-07,2025-10-12,241495.99
SO00126,CUST00422,Shipped,2026-05-19,2026-06-01,138160.53
SO00127,CUST00253,Delivered,2026-02-16,2026-03-02,40004.58
SO00128,CUST00331,Delivered,2026-06-22,2026-07-05,159615.45
SO00129,CUST00082,Shipped,2026-06-07,2026-06-20,11901.22
SO00130,CUST00839,Delivered,2025-10-15,2025-10-30,163574.83
SO00131,CUST00056,Delivered,2025-12-06,2025-12-09,103078.66
SO00132,CUST00972,Packed,2026-03-03,2026-03-13,221510.98
SO00133,CUST00885,Delivered,2026-04-15,2026-04-30,78512.0
SO00134,CUST00776,Delivered,2025-09-03,2025-09-07,69850.76
SO00135,CUST00467,Shipped,2026-04-18,2026-04-29,245045.58
SO00136,CUST00955,Cancelled,2026-02-28,2026-03-08,93488.1
SO00137,CUST00149,Delivered,2026-03-18,2026-03-25,261589.21
SO00138,CUST00961,Shipped,2025-11-21,2025-11-26,224747.42
SO00139,CUST00578,Shipped,2026-02-10,2026-02-14,165377.06
SO00140,CUST00678,Pending,2026-02-18,2026-02-25,150660.07
SO00141,CUST00333,Delivered,2026-05-24,2026-06-07,8884.72
SO00142,CUST00681,Delivered,2026-01-18,2026-02-02,155597.96
SO00143,CUST00710,Processing,2026-07-12,2026-07-24,223094.99
SO00144,CUST00104,Processing,2026-05-14,2026-05-17,468787.71
SO00145,CUST00342,Shipped,2026-01-12,2026-01-26,25599.7
SO00146,CUST00433,Delivered,2025-10-05,2025-10-14,154265.0
SO00147,CUST00051,Delivered,2026-05-28,2026-06-06,328158.26
SO00148,CUST00750,Shipped,2025-12-01,2025-12-04,87395.85
SO00149,CUST00150,Delivered,2026-03-07,2026-03-17,66260.0
SO00150,CUST00891,Delivered,2026-01-26,2026-02-09,68949.27
SO00151,CUST00409,Delivered,2026-06-27,2026-07-08,164231.28
SO00152,CUST00083,Shipped,2026-05-09,2026-05-20,148582.63
SO00153,CUST00057,Delivered,2026-02-12,2026-02-16,258993.48
SO00154,CUST00470,Delivered,2026-03-14,2026-03-26,92338.79
SO00155,CUST00801,Cancelled,2026-01-26,2026-01-31,130804.85
SO00156,CUST00574,Processing,2026-03-15,2026-03-27,148056.66
SO00157,CUST00476,Pending,2025-10-25,2025-11-03,179089.39
SO00158,CUST00227,Delivered,2026-04-16,2026-05-01,72266.83
SO00159,CUST00551,Processing,2026-01-30,2026-02-13,187272.17
SO00160,CUST00148,Delivered,2025-11-22,2025-11-27,201121.72
SO00161,CUST00173,Processing,2025-09-03,2025-09-17,392968.92
SO00162,CUST00994,Packed,2026-06-25,2026-07-08,217740.32
SO00163,CUST00987,Pending,2026-04-22,2026-04-30,141384.5
SO00164,CUST00787,Delivered,2025-12-14,2025-12-17,294865.11
SO00165,CUST00529,Processing,2026-04-15,2026-04-18,118198.74
SO00166,CUST00153,Delivered,2025-11-09,2025-11-19,219199.26
SO00167,CUST00930,Delivered,2025-12-18,2025-12-28,180356.25
SO00168,CUST00150,Pending,2026-05-30,2026-06-10,56779.2
SO00169,CUST00219,Delivered,2026-06-16,2026-07-01,424673.11
SO00170,CUST00040,Delivered,2026-02-09,2026-02-22,30976.83
SO00171,CUST00703,Processing,2026-01-15,2026-01-22,12329.77
SO00172,CUST00636,Delivered,2025-11-13,2025-11-17,167729.07
SO00173,CUST00484,Delivered,2026-01-14,2026-01-17,42329.38
SO00174,CUST00509,Pending,2026-06-29,2026-07-10,292044.0
SO00175,CUST00243,Delivered,2025-12-06,2025-12-09,145910.27
SO00176,CUST00108,Shipped,2026-06-05,2026-06-20,16039.2
SO00177,CUST00903,Pending,2026-02-17,2026-03-03,289252.93
SO00178,CUST00378,Cancelled,2025-10-20,2025-11-01,533422.63
SO00179,CUST00902,Processing,2025-12-07,2025-12-12,50238.88
SO00180,CUST00009,Shipped,2026-01-21,2026-01-31,120332.35
SO00181,CUST00397,Shipped,2026-06-06,2026-06-17,276318.44
SO00182,CUST00813,Processing,2025-11-16,2025-11-23,14752.52
SO00183,CUST00444,Delivered,2025-10-22,2025-10-27,27982.04
SO00184,CUST00104,Delivered,2025-09-28,2025-10-08,171522.73
SO00185,CUST00752,Processing,2026-03-12,2026-03-23,172961.49
SO00186,CUST00200,Pending,2026-02-07,2026-02-11,84749.12
SO00187,CUST00264,Packed,2026-06-27,2026-07-05,43833.96
SO00188,CUST00005,Delivered,2026-04-12,2026-04-23,1826.24
SO00189,CUST00293,Processing,2026-06-21,2026-07-06,462480.42
SO00190,CUST00883,Delivered,2026-05-10,2026-05-13,168086.29
SO00191,CUST00216,Shipped,2026-01-26,2026-02-09,264234.51
SO00192,CUST00289,Delivered,2026-07-18,2026-07-22,43560.66
SO00193,CUST00286,Pending,2026-06-13,2026-06-28,131354.88
SO00194,CUST00059,Processing,2025-12-23,2026-01-04,215631.42
SO00195,CUST00502,Pending,2026-01-31,2026-02-13,35435.18
SO00196,CUST00851,Processing,2026-04-16,2026-05-01,240945.26
SO00197,CUST00813,Pending,2026-05-15,2026-05-29,261088.49
SO00198,CUST00653,Packed,2026-03-06,2026-03-15,144644.09
SO00199,CUST00939,Shipped,2026-07-07,2026-07-17,143368.2
SO00200,CUST00247,Shipped,2026-05-11,2026-05-19,8694.42
SO00201,CUST00635,Packed,2026-04-28,2026-05-06,72554.4
SO00202,CUST00472,Shipped,2026-01-22,2026-01-31,76734.91
SO00203,CUST00508,Shipped,2026-04-14,2026-04-29,84107.84
SO00204,CUST00720,Delivered,2026-03-21,2026-04-02,163098.96
SO00205,CUST00171,Shipped,2025-11-12,2025-11-17,130436.81
SO00206,CUST00719,Processing,2026-01-24,2026-02-07,295377.43
SO00207,CUST00014,Pending,2026-06-20,2026-07-01,232215.51
SO00208,CUST00103,Delivered,2026-06-15,2026-06-21,108723.99
SO00209,CUST00331,Delivered,2025-10-14,2025-10-25,151372.24
SO00210,CUST00362,Packed,2026-04-23,2026-05-05,212728.72
SO00211,CUST00094,Pending,2025-09-26,2025-10-06,7001.84
SO00212,CUST00674,Delivered,2025-12-18,2025-12-26,94914.0
SO00213,CUST00115,Packed,2026-04-09,2026-04-16,26285.54
SO00214,CUST00743,Delivered,2026-01-31,2026-02-05,298625.76
SO00215,CUST00600,Shipped,2025-12-07,2025-12-22,304154.76
SO00216,CUST00935,Packed,2026-07-09,2026-07-23,237202.1
SO00217,CUST00112,Delivered,2025-09-01,2025-09-07,83891.6
SO00218,CUST00155,Delivered,2025-12-12,2025-12-23,20145.41
SO00219,CUST00274,Cancelled,2026-07-16,2026-07-20,128169.24
SO00220,CUST00076,Shipped,2026-06-07,2026-06-11,278787.08
SO00221,CUST00511,Cancelled,2026-03-14,2026-03-18,167047.82
SO00222,CUST00015,Processing,2026-03-11,2026-03-17,159008.04
SO00223,CUST00886,Packed,2026-02-14,2026-02-27,122884.32
SO00224,CUST00121,Packed,2025-10-09,2025-10-23,192975.75
SO00225,CUST00714,Shipped,2026-07-07,2026-07-11,256118.79
SO00226,CUST00607,Packed,2026-01-11,2026-01-14,31445.16
SO00227,CUST00860,Delivered,2026-04-03,2026-04-17,546509.4
SO00228,CUST00957,Shipped,2025-12-22,2026-01-03,21848.96
SO00229,CUST00492,Packed,2025-10-26,2025-11-01,73176.77
SO00230,CUST00242,Packed,2026-01-04,2026-01-13,291535.28
SO00231,CUST00031,Delivered,2026-04-18,2026-05-01,177557.72
SO00232,CUST00982,Shipped,2026-05-20,2026-06-03,156238.49
SO00233,CUST00914,Cancelled,2026-02-22,2026-03-09,307623.79
SO00234,CUST00720,Delivered,2025-10-02,2025-10-12,113336.19
SO00235,CUST00979,Delivered,2026-05-29,2026-06-06,130347.24
SO00236,CUST00437,Shipped,2025-12-09,2025-12-13,206545.5
SO00237,CUST00407,Packed,2026-06-06,2026-06-18,195148.56
SO00238,CUST00024,Processing,2025-10-11,2025-10-16,216560.61
SO00239,CUST00175,Delivered,2025-11-16,2025-12-01,116328.15
SO00240,CUST00377,Delivered,2026-03-15,2026-03-18,253845.24
SO00241,CUST00476,Delivered,2026-03-16,2026-03-23,109561.56
SO00242,CUST00346,Shipped,2025-11-21,2025-12-03,88790.39
SO00243,CUST00886,Delivered,2025-11-06,2025-11-12,144743.0
SO00244,CUST00530,Shipped,2026-07-01,2026-07-07,256572.59
SO00245,CUST00894,Shipped,2026-06-05,2026-06-19,22264.68
SO00246,CUST00600,Packed,2026-05-16,2026-05-29,189438.21
SO00247,CUST00881,Processing,2025-11-02,2025-11-15,126402.98
SO00248,CUST00517,Delivered,2026-03-17,2026-03-25,87577.98
SO00249,CUST00949,Delivered,2025-11-30,2025-12-12,173870.57
SO00250,CUST00508,Processing,2026-02-25,2026-03-09,67448.16
SO00251,CUST00114,Delivered,2025-12-26,2026-01-04,97353.48
SO00252,CUST00696,Shipped,2025-11-22,2025-12-04,155398.91
SO00253,CUST00817,Packed,2025-09-01,2025-09-12,67132.3
SO00254,CUST00701,Delivered,2026-03-13,2026-03-17,79857.68
SO00255,CUST00525,Delivered,2025-11-08,2025-11-21,159474.85
SO00256,CUST00265,Delivered,2025-11-27,2025-12-07,220426.44
SO00257,CUST00334,Delivered,2025-10-17,2025-10-22,89004.63
SO00258,CUST00888,Delivered,2026-06-17,2026-06-25,132500.89
SO00259,CUST00925,Shipped,2026-02-05,2026-02-20,248432.48
SO00260,CUST00769,Delivered,2025-12-27,2026-01-05,255300.53
SO00261,CUST00025,Shipped,2025-09-22,2025-10-06,228185.25
SO00262,CUST00805,Delivered,2025-10-27,2025-11-10,65640.8
SO00263,CUST00008,Delivered,2025-12-22,2025-12-30,146432.52
SO00264,CUST00085,Delivered,2026-04-10,2026-04-23,151649.86
SO00265,CUST00371,Delivered,2026-04-27,2026-05-02,278794.41
SO00266,CUST00683,Delivered,2026-05-23,2026-05-31,112750.08
SO00267,CUST00161,Delivered,2026-07-05,2026-07-10,221463.73
SO00268,CUST00187,Shipped,2026-06-27,2026-07-12,161713.61
SO00269,CUST00162,Delivered,2026-02-12,2026-02-19,84298.0
SO00270,CUST00191,Delivered,2026-06-16,2026-06-25,146221.07
SO00271,CUST00030,Delivered,2026-04-08,2026-04-22,90188.25
SO00272,CUST00004,Delivered,2026-04-14,2026-04-18,250333.08
SO00273,CUST00610,Delivered,2025-11-01,2025-11-10,130021.72
SO00274,CUST00651,Delivered,2026-05-01,2026-05-08,361213.06
SO00275,CUST00290,Delivered,2025-09-27,2025-10-03,194320.06
SO00276,CUST00684,Delivered,2025-11-05,2025-11-14,216523.98
SO00277,CUST00265,Delivered,2025-09-11,2025-09-19,134344.05
SO00278,CUST00642,Delivered,2026-02-17,2026-02-28,317784.35
SO00279,CUST00474,Packed,2026-04-02,2026-04-05,127445.21
SO00280,CUST00965,Delivered,2025-11-28,2025-12-13,78390.96
SO00281,CUST00382,Processing,2025-10-15,2025-10-27,263073.19
SO00282,CUST00347,Pending,2025-09-11,2025-09-23,156966.93
SO00283,CUST00972,Delivered,2026-01-11,2026-01-14,146062.26
SO00284,CUST00820,Packed,2026-04-03,2026-04-07,222478.53
SO00285,CUST00187,Delivered,2026-01-12,2026-01-25,295390.05
SO00286,CUST00118,Packed,2025-09-16,2025-09-27,12472.11
SO00287,CUST00609,Shipped,2025-10-27,2025-10-31,131485.2
SO00288,CUST00824,Processing,2025-12-15,2025-12-22,129248.05
SO00289,CUST00433,Pending,2026-05-04,2026-05-19,274518.84
SO00290,CUST00828,Shipped,2026-06-15,2026-06-18,226022.38
SO00291,CUST00297,Pending,2025-10-19,2025-10-23,171978.38
SO00292,CUST00743,Packed,2026-04-21,2026-05-03,207331.78
SO00293,CUST00579,Delivered,2025-12-08,2025-12-16,484441.16
SO00294,CUST00069,Packed,2026-01-12,2026-01-16,372447.25
SO00295,CUST00580,Processing,2026-03-16,2026-03-24,391835.25
SO00296,CUST00807,Delivered,2026-02-13,2026-02-22,140470.57
SO00297,CUST00774,Shipped,2026-01-19,2026-01-29,31394.4
SO00298,CUST00900,Processing,2026-03-11,2026-03-21,228400.18
SO00299,CUST00107,Processing,2026-01-03,2026-01-15,203810.42
SO00300,CUST00668,Delivered,2026-02-06,2026-02-14,246747.19
SO00301,CUST00611,Delivered,2025-10-02,2025-10-16,64048.25
SO00302,CUST00492,Delivered,2026-05-01,2026-05-05,58770.6
SO00303,CUST00672,Shipped,2026-02-16,2026-03-01,110510.33
SO00304,CUST00433,Pending,2025-10-09,2025-10-13,46584.76
SO00305,CUST00456,Shipped,2026-07-13,2026-07-17,180751.22
SO00306,CUST00485,Delivered,2025-10-28,2025-11-01,16835.28
SO00307,CUST00471,Pending,2026-01-16,2026-01-23,75119.99
SO00308,CUST00324,Delivered,2025-12-27,2026-01-11,295338.74
SO00309,CUST00138,Processing,2025-10-03,2025-10-15,151020.63
SO00310,CUST00982,Delivered,2025-09-04,2025-09-16,134488.68
SO00311,CUST00920,Delivered,2025-11-07,2025-11-11,437583.05
SO00312,CUST00767,Delivered,2026-04-30,2026-05-13,131661.83
SO00313,CUST00469,Delivered,2025-11-24,2025-11-29,132967.15
SO00314,CUST00081,Delivered,2026-01-21,2026-02-02,57400.42
SO00315,CUST00572,Pending,2025-09-23,2025-10-07,103708.27
SO00316,CUST00475,Shipped,2025-10-07,2025-10-19,85328.33
SO00317,CUST00981,Shipped,2026-01-05,2026-01-09,144529.96
SO00318,CUST00707,Delivered,2026-04-21,2026-05-04,6789.91
SO00319,CUST00214,Shipped,2026-06-06,2026-06-14,42153.81
SO00320,CUST00041,Delivered,2026-05-12,2026-05-19,158085.53
SO00321,CUST00138,Packed,2026-04-23,2026-05-08,206331.46
SO00322,CUST00107,Delivered,2026-05-17,2026-05-22,201737.0
SO00323,CUST00876,Delivered,2025-09-17,2025-09-25,310240.7
SO00324,CUST00675,Delivered,2026-04-26,2026-05-11,325322.25
SO00325,CUST00608,Delivered,2026-03-28,2026-04-07,287409.14
SO00326,CUST00031,Delivered,2026-05-07,2026-05-22,279053.65
SO00327,CUST00220,Cancelled,2026-05-12,2026-05-17,47982.07
SO00328,CUST01000,Processing,2026-03-26,2026-04-09,222120.11
SO00329,CUST00689,Delivered,2026-05-26,2026-06-08,285019.18
SO00330,CUST00578,Delivered,2026-01-14,2026-01-19,615038.0
SO00331,CUST00995,Delivered,2026-01-01,2026-01-06,265401.32
SO00332,CUST00305,Processing,2026-05-03,2026-05-15,355349.4
SO00333,CUST00891,Shipped,2025-09-08,2025-09-15,270451.78
SO00334,CUST00094,Shipped,2026-03-17,2026-04-01,107210.8
SO00335,CUST00227,Packed,2026-06-28,2026-07-01,212589.5
SO00336,CUST00136,Delivered,2025-09-21,2025-09-30,463492.41
SO00337,CUST00429,Delivered,2025-09-04,2025-09-19,115343.72
SO00338,CUST00513,Delivered,2026-05-16,2026-05-19,301487.34
SO00339,CUST00964,Delivered,2026-04-25,2026-04-30,373861.77
SO00340,CUST00232,Packed,2026-02-09,2026-02-20,173312.41
SO00341,CUST00755,Shipped,2025-09-19,2025-09-22,85418.0
SO00342,CUST00808,Delivered,2026-01-17,2026-01-29,338557.68
SO00343,CUST00919,Shipped,2026-06-27,2026-07-02,246801.73
SO00344,CUST00095,Shipped,2026-05-21,2026-05-30,471194.28
SO00345,CUST00144,Delivered,2025-10-05,2025-10-20,59139.25
SO00346,CUST00964,Packed,2025-10-11,2025-10-17,189391.48
SO00347,CUST00094,Delivered,2026-03-28,2026-04-03,84763.42
SO00348,CUST00019,Delivered,2026-02-03,2026-02-16,212610.14
SO00349,CUST00900,Processing,2026-03-10,2026-03-23,76795.11
SO00350,CUST00976,Delivered,2026-07-06,2026-07-19,335882.18
SO00351,CUST00004,Packed,2026-04-08,2026-04-17,1206.12
SO00352,CUST00860,Pending,2026-04-11,2026-04-24,105849.86
SO00353,CUST00878,Pending,2026-03-12,2026-03-16,47834.08
SO00354,CUST00733,Processing,2026-06-05,2026-06-14,148809.96
SO00355,CUST00687,Pending,2025-10-07,2025-10-18,184945.84
SO00356,CUST00771,Delivered,2026-03-17,2026-03-30,76785.52
SO00357,CUST00777,Delivered,2026-03-18,2026-03-22,162654.64
SO00358,CUST00320,Pending,2025-11-21,2025-11-25,225815.78
SO00359,CUST00466,Packed,2025-09-24,2025-10-07,511086.8
SO00360,CUST00761,Cancelled,2026-03-08,2026-03-17,72552.75
SO00361,CUST00564,Delivered,2026-02-05,2026-02-13,142271.88
SO00362,CUST00992,Delivered,2026-07-09,2026-07-16,208233.04
SO00363,CUST00599,Packed,2025-10-11,2025-10-17,307039.58
SO00364,CUST00370,Processing,2025-11-09,2025-11-17,47810.86
SO00365,CUST00174,Delivered,2025-10-07,2025-10-14,78120.25
SO00366,CUST00755,Packed,2026-02-27,2026-03-07,97551.59
SO00367,CUST00950,Delivered,2025-09-06,2025-09-14,18325.2
SO00368,CUST00827,Delivered,2025-12-26,2025-12-30,216557.38
SO00369,CUST00144,Delivered,2026-04-04,2026-04-14,86599.17
SO00370,CUST00185,Delivered,2025-11-03,2025-11-09,138982.02
SO00371,CUST00079,Processing,2026-06-27,2026-06-30,312027.33
SO00372,CUST00219,Delivered,2025-12-15,2025-12-18,274290.35
SO00373,CUST00965,Cancelled,2026-04-05,2026-04-08,7870.23
SO00374,CUST00880,Delivered,2026-05-20,2026-05-25,312902.08
SO00375,CUST00123,Packed,2025-12-14,2025-12-29,184004.7
SO00376,CUST00432,Processing,2026-06-05,2026-06-11,15825.15
SO00377,CUST00518,Delivered,2025-09-05,2025-09-13,50657.16
SO00378,CUST00793,Shipped,2026-07-01,2026-07-10,280267.02
SO00379,CUST00583,Pending,2026-01-22,2026-01-29,325326.95
SO00380,CUST00279,Delivered,2025-09-15,2025-09-29,32760.0
SO00381,CUST00703,Delivered,2025-09-15,2025-09-20,227088.53
SO00382,CUST00262,Cancelled,2025-11-18,2025-12-01,153086.14
SO00383,CUST00093,Shipped,2026-03-18,2026-03-29,164079.74
SO00384,CUST00663,Delivered,2025-10-26,2025-11-03,339627.68
SO00385,CUST00280,Pending,2026-01-05,2026-01-12,110866.19
SO00386,CUST00248,Shipped,2026-06-18,2026-06-24,153979.37
SO00387,CUST00195,Packed,2026-02-24,2026-03-09,21181.39
SO00388,CUST00519,Delivered,2025-10-07,2025-10-17,97301.22
SO00389,CUST00314,Delivered,2026-03-19,2026-03-27,224078.82
SO00390,CUST00482,Processing,2026-05-06,2026-05-09,149316.6
SO00391,CUST00171,Delivered,2026-02-21,2026-03-05,301005.72
SO00392,CUST00875,Shipped,2025-12-01,2025-12-16,131189.88
SO00393,CUST00296,Packed,2025-09-10,2025-09-25,330332.23
SO00394,CUST00112,Shipped,2026-02-13,2026-02-23,83327.78
SO00395,CUST00443,Delivered,2026-04-11,2026-04-23,6158.48
SO00396,CUST00651,Pending,2026-05-18,2026-05-30,45648.38
SO00397,CUST00227,Shipped,2026-07-13,2026-07-27,286931.0
SO00398,CUST00829,Cancelled,2025-12-20,2025-12-26,298680.1
SO00399,CUST00329,Shipped,2025-09-16,2025-09-20,58360.01
SO00400,CUST00836,Cancelled,2026-01-27,2026-02-02,423059.14
SO00401,CUST00519,Shipped,2026-01-10,2026-01-13,139196.16
