shipment_id,sales_order_id,carrier_name,tracking_number,origin,destination,status,eta,actual_delivery,shipping_cost
SHIP00020,SO00020,Kuehne + Nagel,TRK-KUE-26423580,"Bengaluru, India","Suzhou, Germany",In Transit,2026-02-06,,928.24
SHIP00021,SO00021,FedEx Freight,TRK-FED-88312127,"Rotterdam, Netherlands","Hamilton, Mexico",In Transit,2026-05-08,,345.31
SHIP00022,SO00022,Kuehne + Nagel,TRK-KUE-44427668,Singapore,"Querétaro, Japan",In Transit,2026-02-03,,781.29
SHIP00023,SO00023,Kuehne + Nagel,TRK-KUE-40398297,"Guadalajara, Mexico","Birmingham, Japan",In Transit,2026-03-07,,823.01
SHIP00024,SO00024,FedEx Freight,TRK-FED-85888348,"Detroit, MI, USA","Incheon, Germany",Delivered,2026-03-13,2026-03-14,1327.32
SHIP00025,SO00025,UPS Supply Chain,TRK-UPS-74257983,"Dallas, TX, USA","Ningbo, Germany",Delivered,2026-04-09,2026-04-09,1622.66
SHIP00026,SO00026,UPS Supply Chain,TRK-UPS-57828675,"Atlanta, GA, USA","Querétaro, Germany",Delivered,2025-12-19,2025-12-19,1488.6
SHIP00027,SO00027,Kuehne + Nagel,TRK-KUE-12943985,"Munich, Germany","Monterrey, India",In Transit,2026-06-23,,128.26
SHIP00028,SO00028,UPS Supply Chain,TRK-UPS-28392875,"Melbourne, Australia","Stuttgart, United States",Preparing,2026-01-30,,1433.9
SHIP00029,SO00029,DHL Express,TRK-DHL-35563478,"Los Angeles, CA, USA","Incheon, United States",In Transit,2026-07-26,,1766.63
SHIP00030,SO00030,Kuehne + Nagel,TRK-KUE-24035241,"Guadalajara, Mexico","Stuttgart, China",Delivered,2025-12-02,2025-12-03,1199.37
SHIP00031,SO00031,Maersk Logistics,TRK-MAE-37832341,"London, UK","Shenzhen, United Kingdom",Delivered,2026-03-30,2026-03-29,1070.34
SHIP00032,SO00032,FedEx Freight,TRK-FED-37497588,"Incheon, South Korea","Ningbo, India",Delivered,2026-07-07,2026-07-06,771.28
SHIP00033,SO00033,UPS Supply Chain,TRK-UPS-56143618,"Frankfurt, Germany","Querétaro, China",Preparing,2026-01-08,,496.92
SHIP00034,SO00034,DHL Express,TRK-DHL-55840925,"Hamburg, Germany","Bengaluru, United Kingdom",In Transit,2026-06-30,,1573.4
SHIP00035,SO00035,UPS Supply Chain,TRK-UPS-77640434,"Seattle, WA, USA","Bengaluru, Germany",In Transit,2025-12-03,,1482.88
SHIP00036,SO00036,UPS Supply Chain,TRK-UPS-75056111,"Monterrey, Mexico","Hamilton, United Kingdom",Delivered,2026-04-21,2026-04-21,328.79
SHIP00037,SO00037,DB Schenker,TRK-DB -76526454,"Dallas, TX, USA","Hamilton, Germany",In Transit,2025-10-11,,1682.64
SHIP00038,SO00038,UPS Supply Chain,TRK-UPS-75612497,"Rotterdam, Netherlands","Osaka, Canada",In Transit,2026-04-13,,145.37
SHIP00039,SO00039,DB Schenker,TRK-DB -92341156,"Frankfurt, Germany","Detroit, Germany",Delivered,2025-10-13,2025-10-13,712.43
SHIP00040,SO00040,FedEx Freight,TRK-FED-25870443,"Stuttgart, Germany","Hamilton, Germany",Returned,2026-05-16,2026-05-21,853.66
SHIP00041,SO00041,UPS Supply Chain,TRK-UPS-79340680,"Bengaluru, India","Nagoya, United States",Delivered,2026-02-06,2026-02-09,1809.16
SHIP00042,SO00042,DHL Express,TRK-DHL-74797358,"Hamburg, Germany","Osaka, United Kingdom",In Transit,2026-01-02,,1082.09
SHIP00043,SO00043,DHL Express,TRK-DHL-43326008,"Monterrey, Mexico","Hamilton, India",Delivered,2025-10-24,2025-10-25,352.44
SHIP00044,SO00044,Kuehne + Nagel,TRK-KUE-17523200,"Taipei, Taiwan","Dortmund, Japan",Preparing,2025-12-02,,861.15
SHIP00045,SO00045,UPS Supply Chain,TRK-UPS-99335310,"Stuttgart, Germany","Munich, Germany",Delivered,2025-09-20,2025-09-21,1792.74
SHIP00046,SO00046,FedEx Freight,TRK-FED-49166734,"Bengaluru, India","Dortmund, South Korea",Preparing,2026-07-21,,1108.27
SHIP00047,SO00047,FedEx Freight,TRK-FED-53577857,"Incheon, South Korea","Incheon, Japan",Delivered,2025-12-27,2025-12-28,1609.57
SHIP00048,SO00048,FedEx Freight,TRK-FED-42436940,"Los Angeles, CA, USA","Osaka, Germany",Delivered,2025-12-22,2025-12-27,840.14
SHIP00049,SO00049,FedEx Freight,TRK-FED-32074182,Singapore,"Taipei, Japan",In Transit,2026-07-13,,751.86
SHIP00050,SO00050,Maersk Logistics,TRK-MAE-36151198,"Rotterdam, Netherlands","Stuttgart, India",In Transit,2025-09-16,,240.07
SHIP00051,SO00051,DHL Express,TRK-DHL-86008274,Singapore,"Birmingham, Japan",Delivered,2026-03-30,2026-03-30,694.89
SHIP00052,SO00052,Maersk Logistics,TRK-MAE-22131725,"Monterrey, Mexico","Hai Phong, South Korea",In Transit,2026-01-15,,1047.96
SHIP00053,SO00053,DB Schenker,TRK-DB -95610708,"London, UK","Hsinchu, Japan",Delivered,2025-11-01,2025-11-01,172.07
SHIP00054,SO00054,FedEx Freight,TRK-FED-55227362,"Detroit, MI, USA","Pune, Germany",In Transit,2025-10-26,,994.66
SHIP00055,SO00055,DHL Express,TRK-DHL-50429895,"Monterrey, Mexico","Dallas, Germany",Delivered,2026-04-15,2026-04-15,1577.62
SHIP00056,SO00056,UPS Supply Chain,TRK-UPS-73387768,"Detroit, MI, USA","Pune, Taiwan",In Transit,2026-05-08,,727.45
SHIP00057,SO00057,UPS Supply Chain,TRK-UPS-34712645,Singapore,"Nagoya, Germany",In Transit,2026-01-20,,613.67
SHIP00058,SO00058,Kuehne + Nagel,TRK-KUE-65889797,"Taipei, Taiwan","Taipei, United States",In Transit,2025-11-30,,1086.57
SHIP00059,SO00059,DHL Express,TRK-DHL-99319246,"Incheon, South Korea","Taipei, South Korea",Delivered,2026-03-31,2026-04-01,849.85
SHIP00060,SO00060,FedEx Freight,TRK-FED-70741468,"London, UK","Taipei, Germany",Delivered,2026-07-04,2026-07-05,1629.32
SHIP00061,SO00061,DHL Express,TRK-DHL-31253775,"Shenzhen, China","Seoul, India",Delivered,2025-12-29,2025-12-29,453.78
SHIP00062,SO00062,DHL Express,TRK-DHL-78594524,"Taipei, Taiwan","Osaka, China",Preparing,2026-05-30,,1070.87
SHIP00063,SO00063,UPS Supply Chain,TRK-UPS-98040486,"Shenzhen, China","Hsinchu, United Kingdom",In Transit,2026-03-19,,1252.97
SHIP00064,SO00064,DB Schenker,TRK-DB -26633988,Singapore,"Nagoya, India",Preparing,2026-03-26,,1814.11
SHIP00065,SO00065,FedEx Freight,TRK-FED-31241246,"Guadalajara, Mexico","Querétaro, United States",Delivered,2025-10-15,2025-10-16,806.92
SHIP00066,SO00066,FedEx Freight,TRK-FED-37505457,"Tokyo, Japan","Dallas, South Korea",Delivered,2026-02-27,2026-03-04,1460.19
SHIP00067,SO00067,UPS Supply Chain,TRK-UPS-83328774,"London, UK","Birmingham, Taiwan",Delivered,2025-12-08,2025-12-08,1363.71
SHIP00068,SO00068,UPS Supply Chain,TRK-UPS-53695366,"Seattle, WA, USA","Birmingham, Mexico",Delivered,2026-05-08,2026-05-07,179.88
SHIP00069,SO00069,FedEx Freight,TRK-FED-76420213,"Monterrey, Mexico","Querétaro, Taiwan",Delivered,2025-11-24,2025-11-25,1433.07
SHIP00070,SO00070,UPS Supply Chain,TRK-UPS-31281570,"Pune, India","Nagoya, India",In Transit,2026-05-01,,1158.53
SHIP00071,SO00071,Maersk Logistics,TRK-MAE-27276446,"Frankfurt, Germany","Shenzhen, Mexico",In Transit,2026-01-09,,1627.51
SHIP00072,SO00072,DHL Express,TRK-DHL-57146633,"Dallas, TX, USA","Ningbo, Germany",In Transit,2026-05-04,,1558.09
SHIP00073,SO00073,FedEx Freight,TRK-FED-47915647,"Chicago, IL, USA","Dallas, South Korea",Delivered,2026-01-17,2026-01-18,985.8
SHIP00074,SO00074,UPS Supply Chain,TRK-UPS-91325647,"Hamburg, Germany","Osaka, Japan",Returned,2026-02-22,2026-02-27,353.17
SHIP00075,SO00075,Maersk Logistics,TRK-MAE-15998100,"Monterrey, Mexico","Dortmund, Mexico",Delayed,2025-11-01,,1151.68
SHIP00076,SO00076,UPS Supply Chain,TRK-UPS-42532780,"Osaka, Japan","Detroit, United States",Delayed,2026-06-10,,1777.06
SHIP00077,SO00077,DB Schenker,TRK-DB -45262106,"Stuttgart, Germany","Seoul, Germany",Returned,2025-10-06,2025-10-11,497.44
SHIP00078,SO00078,DB Schenker,TRK-DB -71743731,"Hamburg, Germany","Chicago, India",Delivered,2026-02-22,2026-02-21,180.11
SHIP00079,SO00079,Kuehne + Nagel,TRK-KUE-24676831,"Yokohama, Japan","Dortmund, India",Delivered,2026-03-12,2026-03-17,1773.52
SHIP00080,SO00080,Kuehne + Nagel,TRK-KUE-35645457,"Munich, Germany","Chicago, Canada",Preparing,2026-01-23,,1369.82
SHIP00081,SO00081,DHL Express,TRK-DHL-67281831,"Bengaluru, India","Hamilton, Japan",Delayed,2026-01-15,,1679.24
SHIP00082,SO00082,DB Schenker,TRK-DB -19592747,"Seattle, WA, USA","Nagoya, South Korea",Delivered,2026-03-04,2026-03-05,476.99
SHIP00083,SO00083,Maersk Logistics,TRK-MAE-99468120,"Tokyo, Japan","Stuttgart, Mexico",In Transit,2026-05-18,,1463.37
SHIP00084,SO00084,UPS Supply Chain,TRK-UPS-37284553,"Hamburg, Germany","Nagoya, Germany",In Transit,2025-12-19,,264.7
SHIP00085,SO00085,DB Schenker,TRK-DB -36014440,"Hamburg, Germany","Stuttgart, Taiwan",In Transit,2025-10-26,,1324.59
SHIP00086,SO00086,FedEx Freight,TRK-FED-89006494,"Melbourne, Australia","Ningbo, Japan",Delivered,2025-09-25,2025-09-25,1802.54
SHIP00087,SO00087,Maersk Logistics,TRK-MAE-94854799,"Tokyo, Japan","Stuttgart, United States",Preparing,2026-02-12,,1035.92
SHIP00088,SO00088,Kuehne + Nagel,TRK-KUE-91534604,"Seattle, WA, USA","Dortmund, China",Delivered,2025-10-07,2025-10-07,795.25
SHIP00089,SO00089,Kuehne + Nagel,TRK-KUE-14723472,"Rotterdam, Netherlands","Munich, Mexico",Delivered,2025-12-14,2025-12-15,710.74
SHIP00090,SO00090,DHL Express,TRK-DHL-68329606,"Atlanta, GA, USA","Dallas, South Korea",Delivered,2025-10-15,2025-10-15,456.54
SHIP00091,SO00091,DHL Express,TRK-DHL-58915939,"Tokyo, Japan","Bengaluru, Germany",Delivered,2026-06-15,2026-06-16,1201.95
SHIP00092,SO00092,UPS Supply Chain,TRK-UPS-44755782,"Frankfurt, Germany","Incheon, Germany",Delivered,2026-07-11,2026-07-14,1324.04
SHIP00093,SO00093,Maersk Logistics,TRK-MAE-14511005,"Stuttgart, Germany","Dallas, Germany",Delivered,2026-04-05,2026-04-09,567.9
SHIP00094,SO00094,UPS Supply Chain,TRK-UPS-90857368,"Seattle, WA, USA","Taipei, India",Delivered,2026-05-28,2026-06-04,379.99
SHIP00095,SO00095,FedEx Freight,TRK-FED-44043991,"Shenzhen, China","Suzhou, Taiwan",Delayed,2026-07-13,,1139.72
SHIP00096,SO00096,DB Schenker,TRK-DB -63631657,"Stuttgart, Germany","Querétaro, Taiwan",Delivered,2025-09-30,2025-09-30,783.9
SHIP00097,SO00097,DHL Express,TRK-DHL-58065535,"Detroit, MI, USA","Dortmund, Mexico",In Transit,2026-07-24,,201.94
SHIP00098,SO00098,UPS Supply Chain,TRK-UPS-21092155,"Seattle, WA, USA","Taipei, Japan",Delivered,2026-01-01,2025-12-31,1058.44
SHIP00099,SO00099,DHL Express,TRK-DHL-21755207,"Stuttgart, Germany","Nagoya, Germany",Preparing,2026-01-09,,1290.69
SHIP00100,SO00100,DB Schenker,TRK-DB -81165486,"Tokyo, Japan","Hai Phong, Japan",Delivered,2025-12-29,2025-12-30,1164.08
SHIP00101,SO00101,DB Schenker,TRK-DB -64446056,"Incheon, South Korea","Hamilton, Japan",Delayed,2026-07-22,,1839.13
SHIP00102,SO00102,Kuehne + Nagel,TRK-KUE-31987451,Singapore,"Hamilton, Germany",Preparing,2026-03-09,,129.55
SHIP00103,SO00103,DHL Express,TRK-DHL-89219373,"Bengaluru, India","Ningbo, Canada",Delivered,2026-04-30,2026-05-05,1047.83
SHIP00104,SO00104,Maersk Logistics,TRK-MAE-82538498,Singapore,"Nagoya, United States",Delayed,2026-02-16,,1621.7
SHIP00105,SO00105,Kuehne + Nagel,TRK-KUE-30717900,"Los Angeles, CA, USA","Dortmund, United States",Delivered,2026-05-11,2026-05-11,754.22
SHIP00106,SO00106,DHL Express,TRK-DHL-15068349,"Munich, Germany","Birmingham, India",Delayed,2025-10-10,,499.73
SHIP00107,SO00107,FedEx Freight,TRK-FED-59679577,"Stuttgart, Germany","Tokyo, India",Preparing,2026-07-11,,1735.95
SHIP00108,SO00108,Kuehne + Nagel,TRK-KUE-46837833,"Melbourne, Australia","Bengaluru, United Kingdom",Delivered,2025-11-23,2025-11-23,1636.77
SHIP00109,SO00109,UPS Supply Chain,TRK-UPS-99428163,"Detroit, MI, USA","Hamilton, South Korea",Preparing,2026-03-27,,479.22
SHIP00110,SO00110,Maersk Logistics,TRK-MAE-99434258,"Tokyo, Japan","Dallas, China",Delivered,2026-06-14,2026-06-13,1385.44
SHIP00111,SO00111,Kuehne + Nagel,TRK-KUE-44246240,"Los Angeles, CA, USA","Seoul, China",In Transit,2025-09-27,,547.75
SHIP00112,SO00112,DB Schenker,TRK-DB -63793305,"Tokyo, Japan","Dallas, Canada",Delivered,2025-09-28,2025-09-27,826.52
SHIP00113,SO00113,Maersk Logistics,TRK-MAE-11761439,"Frankfurt, Germany","Ningbo, Vietnam",Delivered,2026-05-04,2026-05-04,1437.44
SHIP00114,SO00114,UPS Supply Chain,TRK-UPS-97566218,"Rotterdam, Netherlands","Osaka, Taiwan",Delivered,2026-05-11,2026-05-10,1339.87
SHIP00115,SO00115,UPS Supply Chain,TRK-UPS-40682745,"Rotterdam, Netherlands","Incheon, South Korea",Delivered,2026-07-23,2026-07-22,1244.38
SHIP00116,SO00116,Maersk Logistics,TRK-MAE-31903949,"Osaka, Japan","Monterrey, Mexico",Delivered,2025-10-19,2025-10-20,1773.39
SHIP00117,SO00117,DHL Express,TRK-DHL-69786337,"Munich, Germany","Hai Phong, India",Delivered,2026-07-10,2026-07-09,345.18
SHIP00118,SO00118,DHL Express,TRK-DHL-97627963,"Stuttgart, Germany","Detroit, Mexico",Delayed,2025-11-08,,1593.87
SHIP00119,SO00119,UPS Supply Chain,TRK-UPS-47404526,"Shenzhen, China","Detroit, India",Delivered,2026-02-27,2026-02-28,1758.49
SHIP00120,SO00120,FedEx Freight,TRK-FED-83146445,"Tokyo, Japan","Seoul, Germany",Delivered,2026-05-29,2026-05-29,745.2
SHIP00121,SO00121,FedEx Freight,TRK-FED-63383502,"Tokyo, Japan","Incheon, South Korea",Preparing,2026-04-22,,679.32
SHIP00122,SO00122,DB Schenker,TRK-DB -42683561,"Taipei, Taiwan","Detroit, South Korea",In Transit,2026-02-17,,429.2
SHIP00123,SO00123,Maersk Logistics,TRK-MAE-28041322,"Los Angeles, CA, USA","Taipei, China",Delivered,2026-03-02,2026-03-03,560.72
SHIP00124,SO00124,DB Schenker,TRK-DB -91341590,"Monterrey, Mexico","Suzhou, Germany",In Transit,2025-10-13,,1816.32
SHIP00125,SO00125,DB Schenker,TRK-DB -65643298,"Bengaluru, India","Bengaluru, India",Preparing,2025-10-15,,459.12
SHIP00126,SO00126,UPS Supply Chain,TRK-UPS-86263971,"Tokyo, Japan","Chicago, Japan",In Transit,2026-05-22,,73.59
SHIP00127,SO00127,Kuehne + Nagel,TRK-KUE-89790817,"Yokohama, Japan","Querétaro, India",In Transit,2026-02-25,,1481.54
SHIP00128,SO00128,FedEx Freight,TRK-FED-75200666,"Rotterdam, Netherlands","Hsinchu, Japan",Delivered,2026-06-27,2026-06-26,1677.92
SHIP00129,SO00129,UPS Supply Chain,TRK-UPS-26516534,"Seattle, WA, USA","Hsinchu, China",Delivered,2026-06-21,2026-06-22,955.74
SHIP00130,SO00130,UPS Supply Chain,TRK-UPS-97783708,"Tokyo, Japan","Chicago, Germany",Preparing,2025-10-25,,272.16
SHIP00131,SO00131,UPS Supply Chain,TRK-UPS-81970530,Singapore,"Stuttgart, United States",Returned,2025-12-13,2025-12-22,976.19
SHIP00132,SO00132,DB Schenker,TRK-DB -83785516,"Melbourne, Australia","Pune, Mexico",Delivered,2026-03-09,2026-03-08,1436.37
SHIP00133,SO00133,DHL Express,TRK-DHL-14176034,"Tokyo, Japan","Shenzhen, Japan",Returned,2026-04-21,2026-04-30,1748.61
SHIP00134,SO00134,DB Schenker,TRK-DB -52358834,"Yokohama, Japan","Birmingham, Taiwan",Preparing,2025-09-17,,888.05
SHIP00135,SO00135,Kuehne + Nagel,TRK-KUE-65257128,"Incheon, South Korea","Birmingham, China",Preparing,2026-04-25,,178.45
SHIP00136,SO00136,Kuehne + Nagel,TRK-KUE-79830785,"Dallas, TX, USA","Bengaluru, United States",In Transit,2026-03-07,,1800.09
SHIP00137,SO00137,Kuehne + Nagel,TRK-KUE-79505008,"Shenzhen, China","Dallas, India",Returned,2026-03-29,2026-04-05,708.86
SHIP00138,SO00138,DHL Express,TRK-DHL-80954745,"Toronto, Canada","Osaka, Germany",Returned,2025-12-04,2025-12-12,663.26
SHIP00139,SO00139,UPS Supply Chain,TRK-UPS-17574267,"Bengaluru, India","Chicago, Vietnam",In Transit,2026-02-23,,186.12
SHIP00140,SO00140,FedEx Freight,TRK-FED-85026082,"Hamburg, Germany","Chicago, United Kingdom",Preparing,2026-02-24,,1171.56
SHIP00141,SO00141,DHL Express,TRK-DHL-48830260,"Guadalajara, Mexico","Osaka, Mexico",Delivered,2026-06-03,2026-06-02,1401.86
SHIP00142,SO00142,FedEx Freight,TRK-FED-42452479,"Toronto, Canada","Stuttgart, Taiwan",Delivered,2026-01-30,2026-01-30,945.52
SHIP00143,SO00143,DHL Express,TRK-DHL-57457421,"Guadalajara, Mexico","Nagoya, China",In Transit,2026-07-22,,687.56
SHIP00144,SO00144,UPS Supply Chain,TRK-UPS-67580049,"Los Angeles, CA, USA","Dortmund, Germany",Delayed,2026-05-27,,1185.44
SHIP00145,SO00145,DHL Express,TRK-DHL-84427337,"Melbourne, Australia","Seoul, India",Returned,2026-01-15,2026-01-21,65.2
SHIP00146,SO00146,Maersk Logistics,TRK-MAE-53359691,"Incheon, South Korea","Bengaluru, Mexico",In Transit,2025-10-08,,247.31
SHIP00147,SO00147,Kuehne + Nagel,TRK-KUE-22963453,"Frankfurt, Germany","Ningbo, Taiwan",Delivered,2026-06-06,2026-06-05,160.64
SHIP00148,SO00148,DHL Express,TRK-DHL-81648270,"Taipei, Taiwan","Bengaluru, Japan",Delayed,2025-12-05,,1791.75
SHIP00149,SO00149,UPS Supply Chain,TRK-UPS-92228995,"Detroit, MI, USA","Bengaluru, China",Delivered,2026-03-19,2026-03-23,1790.44
SHIP00150,SO00150,DHL Express,TRK-DHL-95644831,"Shenzhen, China","Birmingham, India",Delivered,2026-02-07,2026-02-08,167.65
SHIP00151,SO00151,Kuehne + Nagel,TRK-KUE-15687884,"Detroit, MI, USA","Birmingham, United States",Delivered,2026-07-03,2026-07-03,1794.34
SHIP00152,SO00152,Maersk Logistics,TRK-MAE-23883221,"Munich, Germany","Hai Phong, United States",Delivered,2026-05-19,2026-05-18,1641.21
SHIP00153,SO00153,DB Schenker,TRK-DB -11728856,"Chicago, IL, USA","Osaka, Canada",Delivered,2026-02-16,2026-02-17,690.54
SHIP00154,SO00154,DHL Express,TRK-DHL-33000637,"Monterrey, Mexico","Birmingham, United States",Delivered,2026-03-20,2026-03-19,510.47
SHIP00155,SO00155,FedEx Freight,TRK-FED-78795441,"Incheon, South Korea","Shenzhen, China",Delivered,2026-01-31,2026-01-30,1369.93
SHIP00156,SO00156,Maersk Logistics,TRK-MAE-51322866,"Stuttgart, Germany","Stuttgart, United States",In Transit,2026-03-28,,500.8
SHIP00157,SO00157,Kuehne + Nagel,TRK-KUE-67448727,"Yokohama, Japan","Detroit, United States",In Transit,2025-11-02,,267.32
SHIP00158,SO00158,DB Schenker,TRK-DB -66674629,"Shenzhen, China","Pune, South Korea",Returned,2026-04-30,2026-05-07,593.58
SHIP00159,SO00159,UPS Supply Chain,TRK-UPS-39743713,"Atlanta, GA, USA","Suzhou, Germany",Preparing,2026-02-04,,701.1
SHIP00160,SO00160,Kuehne + Nagel,TRK-KUE-47328125,"Rotterdam, Netherlands","Shenzhen, Germany",Delivered,2025-12-02,2025-12-03,1198.49
SHIP00161,SO00161,Maersk Logistics,TRK-MAE-46095552,"Seattle, WA, USA","Monterrey, United States",Delivered,2025-09-17,2025-09-16,719.33
SHIP00162,SO00162,UPS Supply Chain,TRK-UPS-89596376,"Stuttgart, Germany","Pune, Germany",Delivered,2026-06-30,2026-06-30,928.97
SHIP00163,SO00163,Maersk Logistics,TRK-MAE-61995569,"Bengaluru, India","Seoul, Germany",Preparing,2026-04-25,,859.7
SHIP00164,SO00164,Kuehne + Nagel,TRK-KUE-57710016,"Dallas, TX, USA","Hai Phong, Germany",Delivered,2025-12-27,2025-12-29,530.16
SHIP00165,SO00165,DHL Express,TRK-DHL-87879287,"Toronto, Canada","Ningbo, Vietnam",In Transit,2026-04-25,,1506.96
SHIP00166,SO00166,DB Schenker,TRK-DB -68482135,"Toronto, Canada","Tokyo, Japan",In Transit,2025-11-19,,709.77
SHIP00167,SO00167,DHL Express,TRK-DHL-14283533,"Osaka, Japan","Shenzhen, United Kingdom",In Transit,2025-12-27,,1301.15
SHIP00168,SO00168,DHL Express,TRK-DHL-46734388,"Seattle, WA, USA","Ningbo, India",Delivered,2026-06-05,2026-06-05,398.02
SHIP00169,SO00169,FedEx Freight,TRK-FED-66225685,"Munich, Germany","Osaka, Germany",Delivered,2026-06-29,2026-06-29,998.75
SHIP00170,SO00170,DHL Express,TRK-DHL-48681132,"Yokohama, Japan","Stuttgart, Vietnam",Delivered,2026-02-15,2026-02-14,1052.17
SHIP00171,SO00171,FedEx Freight,TRK-FED-14405869,"Toronto, Canada","Osaka, India",Delivered,2026-01-20,2026-01-20,1526.51
SHIP00172,SO00172,DHL Express,TRK-DHL-40832240,"Osaka, Japan","Ningbo, Taiwan",Delayed,2025-11-22,,541.78
SHIP00173,SO00173,Kuehne + Nagel,TRK-KUE-26693713,"Pune, India","Munich, Japan",Preparing,2026-01-26,,343.23
SHIP00174,SO00174,Maersk Logistics,TRK-MAE-76858714,"Seattle, WA, USA","Bengaluru, United Kingdom",Delivered,2026-07-10,2026-07-09,1448.45
SHIP00175,SO00175,Maersk Logistics,TRK-MAE-85141781,Singapore,"Dortmund, India",Delivered,2025-12-13,2025-12-14,1083.17
SHIP00176,SO00176,UPS Supply Chain,TRK-UPS-16375208,"Pune, India","Tokyo, Vietnam",Delivered,2026-06-15,2026-06-16,1600.88
SHIP00177,SO00177,UPS Supply Chain,TRK-UPS-39938850,"Bengaluru, India","Dortmund, India",In Transit,2026-02-21,,347.33
SHIP00178,SO00178,Kuehne + Nagel,TRK-KUE-38575628,"Taipei, Taiwan","Dallas, South Korea",Delivered,2025-10-27,2025-10-26,925.52
SHIP00179,SO00179,Kuehne + Nagel,TRK-KUE-90028845,"Los Angeles, CA, USA","Dallas, United States",Delivered,2025-12-11,2025-12-11,1362.62
SHIP00180,SO00180,FedEx Freight,TRK-FED-55695876,"Hamburg, Germany","Detroit, India",Delivered,2026-01-31,2026-01-30,1649.71
SHIP00181,SO00181,FedEx Freight,TRK-FED-91905226,"Tokyo, Japan","Incheon, Japan",Preparing,2026-06-14,,1099.59
SHIP00182,SO00182,Maersk Logistics,TRK-MAE-92323594,"Rotterdam, Netherlands","Munich, China",Preparing,2025-11-21,,231.9
SHIP00183,SO00183,Maersk Logistics,TRK-MAE-34012648,"Toronto, Canada","Hai Phong, China",Delivered,2025-11-02,2025-11-03,1698.84
SHIP00184,SO00184,Maersk Logistics,TRK-MAE-20050386,"London, UK","Incheon, Mexico",Preparing,2025-10-08,,414.5
SHIP00185,SO00185,FedEx Freight,TRK-FED-63802059,"Bengaluru, India","Munich, Japan",Delivered,2026-03-23,2026-03-26,1789.57
SHIP00186,SO00186,UPS Supply Chain,TRK-UPS-76563283,"Hamburg, Germany","Nagoya, United States",In Transit,2026-02-16,,1429.87
SHIP00187,SO00187,Kuehne + Nagel,TRK-KUE-77481802,"Frankfurt, Germany","Pune, South Korea",Delayed,2026-07-10,,1454.18
SHIP00188,SO00188,FedEx Freight,TRK-FED-82174006,"Monterrey, Mexico","Suzhou, United States",In Transit,2026-04-21,,334.55
